"scenario","n","d","rep","model","success","logLik","df","converged","hit_outer_limit","hit_max_stall","hit_raw_loglik_deterioration","stop_reason","grad_inf","step_l2","best_raw_loglik","best_raw_loglik_iteration","raw_loglik_drop_from_best","raw_loglik_drop_tol","outer_iterations","outer_log_lik_change","outer_stop_crit","elapsed_sec","error"
"n500_d4",500,4,1,"gamlss.longitudinal",TRUE,-1458.7147268068,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,5,0.00185202987859157,0.002,96.4574811458588,NA
"n500_d4",500,4,1,"gamlss2",TRUE,-2250.9763909419,27.4906216611115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28174090385437,NA
"n500_d4",500,4,2,"gamlss.longitudinal",TRUE,-1520.81339340535,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,5,0.00132145133466111,0.002,112.328688144684,NA
"n500_d4",500,4,2,"gamlss2",TRUE,-2324.08449614084,30.5959587218335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72916793823242,NA
"n500_d4",500,4,3,"gamlss.longitudinal",TRUE,-1566.41540873549,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,3,0.00103590946218901,0.002,87.747899055481,NA
"n500_d4",500,4,3,"gamlss2",TRUE,-2443.31476823068,25.1927136377282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.12100601196289,NA
"n500_d4",500,4,4,"gamlss.longitudinal",TRUE,-1543.32773704798,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.000979137447302492,0.002,75.2228410243988,NA
"n500_d4",500,4,4,"gamlss2",TRUE,-2381.2981847683,32.2123481621931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74699902534485,NA
"n500_d4",500,4,5,"gamlss.longitudinal",TRUE,-1422.41146383661,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,5,0.000879555481560601,0.002,108.223638057709,NA
"n500_d4",500,4,5,"gamlss2",TRUE,-2232.54631691584,30.1907749649238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61967206001282,NA
"n500_d4",500,4,6,"gamlss.longitudinal",TRUE,-1555.66016413841,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,5,0.00186043701410199,0.002,104.00848197937,NA
"n500_d4",500,4,6,"gamlss2",TRUE,-2333.15979396925,28.4444570601073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.34562993049622,NA
"n500_d4",500,4,7,"gamlss.longitudinal",TRUE,-1584.34899843505,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.000570404399923063,0.002,102.983590841293,NA
"n500_d4",500,4,7,"gamlss2",TRUE,-2358.09547257152,27.5513867471283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92253804206848,NA
"n500_d4",500,4,8,"gamlss.longitudinal",TRUE,-1490.12218720062,NA,TRUE,FALSE,FALSE,FALSE,"tolerance",NA,NA,-Inf,NA,NA,10,4,0.000563821435662248,0.002,89.2818419933319,NA
"n500_d4",500,4,8,"gamlss2",TRUE,-2284.29799968051,29.9254156978555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.71554899215698,NA
