"scenario","model","n","d","parameter","term","true_value","mean_estimate","bias","rmse","sd_estimate","mean_std_error","se_to_empirical_sd","coverage_95","q05","q95","n_successful_fits","n_se","mean_logLik","mean_df"
"n500_d4","gamlss.longitudinal",500,4,"mu","intercept",0.758461068795626,0.786261209999235,-0.00129141624604235,0.017728744651544,0.0253584565903252,0.0165796725949542,0.653812369688135,0.92,0.746916499112483,0.825241739023732,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"nu","t",0.12,0.115397387895107,-0.00460261210489288,0.099749053377212,0.100144792203674,0.0985010030510613,0.983585874847399,0.94,-0.0281884117725348,0.281069839258038,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"nu","intercept",0,-0.00735018650570435,-0.00735018650570435,0.105338078673103,0.105610708712802,0.0970089195972068,0.918551923186246,0.92,-0.160899861860136,0.180678482257571,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma","t",0.15,0.152928984451994,0.00292898445199401,0.0370593037462686,0.0371294900932401,0.0341149674564427,0.918810556535322,0.93,0.0871531822970758,0.204277078567279,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma","intercept",-1.21169478285005,-1.21757686740287,-0.00517829748117743,0.0468780517255046,0.0481848194411965,0.0428185821662184,0.888632201236595,0.92,-1.29056460994886,-1.13606133178434,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"tau","t",0.11,0.124127181884207,0.0141271818842075,0.126204390962555,0.126043006249791,0.112643468306672,0.893690746184172,0.93,-0.057968837325265,0.326284205606486,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"tau","intercept",0.5,0.493646015926153,-0.00635398407384668,0.106536012772127,0.106882116237877,0.0905975491433933,0.847639926419117,0.92,0.324782997895385,0.649331172513449,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta","t",0.2,0.192057613192074,-0.00794238680792599,0.115930895386333,0.116241176473527,0.107683263895685,0.926377959708702,0.93,0.0341760107744963,0.372424685188127,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta","intercept",1.03933526489266,1.05053168564795,0.00743488113834518,0.0633786304223326,0.0645365711407179,0.0626331547370308,0.970506390871978,0.96,0.944809551620393,1.15511026764433,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"zeta","t",0.1,-0.0246189699682683,-0.124618969968268,1.33112395570288,1.331954248073,1.34188829336998,1.0074582481428,0.98,-1.96377846955499,2.17809409264195,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"zeta","intercept",0.5,0.463992448454204,-0.0360075515457958,0.811971730439807,0.81525948479027,0.898413109523436,1.10199651311577,0.98,-0.93869048223101,1.53274010286801,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu","x1",0.12,0.11942842496093,-0.00057157503906976,0.0102479171142361,0.0102835117196337,0.0109731587916815,1.06706338173671,0.96,0.102884968556845,0.134027059228465,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu","t",0.18,0.178144643519194,-0.00185535648080571,0.0143676555907665,0.0143191324826109,0.0140882918250309,0.98387886571618,0.95,0.156608124750178,0.199054543888018,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"nu","x1",0.1,0.102558404785496,0.00255840478549607,0.0531641832335212,0.0533701098944193,0.0528395186486948,0.990058269567476,0.91,0.00857576355217673,0.197422281511256,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma","x2",0.12,0.107675704062568,-0.0123242959374323,0.0562861839279216,0.0551970412654429,0.0515100569851931,0.933203226192522,0.92,0.018972918755167,0.203095805293887,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma","x1",0.18,0.176571687662783,-0.00342831233721659,0.028471847419338,0.0284070835167539,0.0258218280240757,0.908992576054017,0.96,0.136484293146669,0.223951414932493,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"tau","x2",0.1,0.133336694069932,0.0333366940699318,0.113887702222405,0.109447988413052,0.10667376654618,0.974652600681868,0.95,-0.035912915108719,0.298684169039403,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"tau","x1",-0.08,-0.0705627995491429,0.00943720045085713,0.0581448915469638,0.057662967657319,0.0549437674052733,0.952843213547291,0.92,-0.173204175240701,0.0218557778384585,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta","x2",-0.1,-0.115634881001847,-0.0156348810018475,0.0789651303592075,0.0777917597665749,0.0716745604840098,0.921364431131001,0.92,-0.24578325099724,0.00693982770851856,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta","x1",0.25,0.247949481575088,-0.00205051842491239,0.0375269693941364,0.0376596776312604,0.0353845786069343,0.939587931511194,0.95,0.185715559800645,0.308439220466791,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"zeta","x2",-0.1,0.0235402783863501,0.12354027838635,0.897377691595363,0.89331101339668,0.958123428441,1.07255302360807,0.99,-1.31837040591788,1.29183402384954,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"zeta","x1",0.12,0.12395123006392,0.00395123006392019,0.453509298559008,0.455776694902922,0.439967136792543,0.965312930022131,0.98,-0.603346662193082,0.916446993073433,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu","x2",-0.1,-0.10002122738408,-2.12273840801495e-05,0.0216872679870376,0.0217965139956688,0.0227929594277458,1.04571581640417,0.96,-0.129448296348648,-0.0620573638724676,100,100,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"nu","x2",-0.08,-0.0615056081712349,0.0184943918287651,0.107788615807788,0.106725093698212,0.103624509037601,0.970947932176306,0.94,-0.226655865237056,0.108712287375403,100,100,-1510.08638146783,NA
"n500_d4","gamlss2",500,4,"theta","intercept",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"zeta","intercept",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"mu","t",0.18,0.180712631950129,0.000712631950129291,0.0163439097055565,0.0164106254125598,0.0195125766509917,1.18902090325319,0.97,0.151050829796374,0.203026695530677,100,100,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"mu","intercept",0.758461068795626,0.786875419946321,-0.000677206298956503,0.0182942461775055,0.0252111918828428,0.0136695232325277,0.542200594721995,0.8,0.740997299657386,0.826856849923879,100,99,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"nu","t",0.12,0.126182825784012,0.00618282578401221,0.135218353144611,0.135757417686974,0.138358661956354,1.01916097340167,0.97,-0.080601743537415,0.337506400178387,100,100,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"nu","intercept",0,-0.00702781554380089,-0.00702781554380089,0.147639628328371,0.148215205471474,0.113260572560425,0.764162976397338,0.85,-0.233602581232804,0.238320459935042,100,100,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"sigma","t",0.15,0.152744510789361,0.00274451078936133,0.0414467784788406,0.0415641539762179,0.0439352178770899,1.05704588386976,0.94,0.0839997564042465,0.206697327903574,100,100,-2295.71301571873,29.3501924229084
"n500_d4","gamlss2",500,4,"sigma","intercept",-1.21169478285005,-1.22378298158885,-0.0113844116671598,0.052869994333221,0.0534187377977894,0.0338365062216343,0.633420174578415,0.73,-1.29758293815834,-1.12452647837459,100,100,-2295.71301571873,29.3501924229084
