"model","parameter","term","estimate","std_error","true_value","intercept_includes_fitted_smooth_mean","scenario","n","d","rep"
"gamlss.longitudinal","mu","intercept",0.768055440987615,0.0162118652758215,0.758461068795626,TRUE,"n500_d4",500,4,1
"gamlss.longitudinal","mu","x1",0.123912508698022,0.00975675879627462,0.12,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","mu","x2",-0.123755047257385,0.021963406060203,-0.1,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","mu","t",0.178213801591707,0.0136508384948862,0.18,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","sigma","intercept",-1.20191033950926,0.0438874075079171,-1.21169478285005,TRUE,"n500_d4",500,4,1
"gamlss.longitudinal","sigma","x1",0.220748859583103,0.0228113923270878,0.18,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","sigma","x2",0.0881496247697094,0.0512890380134809,0.12,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","sigma","t",0.133298516943096,0.0322918599826456,0.15,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","nu","intercept",-0.0687195592698634,0.0993108150795922,0,TRUE,"n500_d4",500,4,1
"gamlss.longitudinal","nu","x1",0.103639916305061,0.049000213499103,0.1,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","nu","x2",-0.157597627053712,0.110238612204089,-0.08,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","nu","t",0.14315936036555,0.0882774042588854,0.12,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","tau","intercept",0.438768629579033,0.0917949396858157,0.5,TRUE,"n500_d4",500,4,1
"gamlss.longitudinal","tau","x1",-0.174151498530265,0.0563346915407295,-0.08,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","tau","x2",0.291496380655245,0.115122219786279,0.1,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","tau","t",0.0567200305692608,0.112526004866917,0.11,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","theta","intercept",1.10968255231619,0.0616503255746078,1.03933526489266,TRUE,"n500_d4",500,4,1
"gamlss.longitudinal","theta","x1",0.280926777646749,0.0312875046618376,0.25,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","theta","x2",-0.272431286557059,0.0722472330912867,-0.1,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","theta","t",0.20027701957465,0.110880032054332,0.2,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","zeta","intercept",0.485768479032036,0.666483313109712,0.5,TRUE,"n500_d4",500,4,1
"gamlss.longitudinal","zeta","x1",-0.962547710346902,0.572219275539152,0.12,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","zeta","x2",-0.922771798771543,0.835793294121156,-0.1,FALSE,"n500_d4",500,4,1
"gamlss.longitudinal","zeta","t",0.0655554664062102,1.39368092372903,0.1,FALSE,"n500_d4",500,4,1
"gamlss2","mu","intercept",0.775962558916518,0.0137921323215079,0.758461068795626,FALSE,"n500_d4",500,4,1
"gamlss2","mu","x1",0.123958803937094,0.00688318423779229,0.12,FALSE,"n500_d4",500,4,1
"gamlss2","mu","x2",-0.137790355644733,0.0146865495674379,-0.1,FALSE,"n500_d4",500,4,1
"gamlss2","mu","t",0.175258281510518,0.0193448466247722,0.18,FALSE,"n500_d4",500,4,1
