"scenario","n","d","rep","model","logLik","df","rosenblatt_ks","rosenblatt_cvm","rosenblatt_lag1_cor","abs_rosenblatt_lag1_cor","rosenblatt_normal_lag1_cor","abs_rosenblatt_normal_lag1_cor","rosenblatt_mean_abs_time_mean","rosenblatt_normal_mean_abs_time_mean"
"n500_d4",500,4,1,"gamlss.longitudinal",-1458.7147268068,NA,0.0118486065159545,0.0463299291931789,-0.0143592910001383,0.0143592910001383,-0.0102426947321463,0.0102426947321463,0.00749820545637492,0.0269955971065588
"n500_d4",500,4,1,"gamlss2",-2250.9763909419,27.4906216611115,0.0141998826158141,0.0635323968057436,0.715494013783818,0.715494013783818,0.729877697564022,0.729877697564022,0.00743000653974277,0.0209567220113364
"n500_d4",500,4,2,"gamlss.longitudinal",-1520.81339340535,NA,0.015713198957708,0.0512380301766977,-0.0299290584396124,0.0299290584396124,-0.0246507450388082,0.0246507450388082,0.00820617883336225,0.0263368103358689
"n500_d4",500,4,2,"gamlss2",-2324.08449614084,30.5959587218335,0.00910978805922641,0.0170893779232123,0.729116098714911,0.729116098714911,0.747964569855409,0.747964569855409,0.00452216524365005,0.0161197281744224
"n500_d4",500,4,3,"gamlss.longitudinal",-1566.41540873549,NA,0.019146998108741,0.066217030282325,0.0108970889196015,0.0108970889196015,0.00176563966523791,0.00176563966523791,0.00727497253085914,0.0256865030399537
"n500_d4",500,4,3,"gamlss2",-2443.31476823068,25.1927136377282,0.0159381393336449,0.0438027677237572,0.731212029187311,0.731212029187311,0.736730682777598,0.736730682777598,0.00254224639016837,0.00945506717868971
"n500_d4",500,4,4,"gamlss.longitudinal",-1543.32773704798,NA,0.0107161733911171,0.0322249447144644,-0.00616593135157566,0.00616593135157566,-0.0117277481885598,0.0117277481885598,0.0057540814030832,0.0201972600138217
"n500_d4",500,4,4,"gamlss2",-2381.2981847683,32.2123481621931,0.0161979146319763,0.098951897012359,0.721660239404973,0.721660239404973,0.733210265081255,0.733210265081255,0.00375295340725088,0.0124525885136411
"n500_d4",500,4,5,"gamlss.longitudinal",-1422.41146383661,NA,0.0167943646537438,0.0768484411052851,0.0104839910811584,0.0104839910811584,0.0169691808381996,0.0169691808381996,0.00659470853798247,0.0150230613590571
"n500_d4",500,4,5,"gamlss2",-2232.54631691584,30.1907749649238,0.0121670145357151,0.0453567540564806,0.713349393184536,0.713349393184536,0.748989959775294,0.748989959775294,0.00646470288530192,0.0189434606453164
"n500_d4",500,4,6,"gamlss.longitudinal",-1555.66016413841,NA,0.0143572136534963,0.052267737357665,-0.0113871796896354,0.0113871796896354,-0.0170027625137762,0.0170027625137762,0.00718032792878197,0.0304915865273104
"n500_d4",500,4,6,"gamlss2",-2333.15979396925,28.4444570601073,0.0140476448073804,0.0331883409042179,0.728737752957493,0.728737752957493,0.741300199215635,0.741300199215635,0.00494496385717279,0.0144332133744478
"n500_d4",500,4,7,"gamlss.longitudinal",-1584.34899843505,NA,0.0140405296693397,0.0529796422497686,-0.0518581230776338,0.0518581230776338,-0.0462572904843175,0.0462572904843175,0.0115976815888374,0.0405977482432136
"n500_d4",500,4,7,"gamlss2",-2358.09547257152,27.5513867471283,0.0133316888615545,0.0432646241928542,0.732376292963354,0.732376292963354,0.750704542745108,0.750704542745108,0.00462961006351541,0.0150482274693959
"n500_d4",500,4,8,"gamlss.longitudinal",-1490.12218720062,NA,0.0146206954446604,0.0829654764806152,-0.0153116065868677,0.0153116065868677,-0.028821836946477,0.028821836946477,0.0126708596912514,0.0432188954637773
"n500_d4",500,4,8,"gamlss2",-2284.29799968051,29.9254156978555,0.0162580162428572,0.0877693497858916,0.729124916257959,0.729124916257959,0.744006340685113,0.744006340685113,0.00574449803249101,0.019366262565174
"n500_d4",500,4,9,"gamlss.longitudinal",-1491.79758197765,NA,0.0103844345879766,0.024286025041915,0.00615579282289455,0.00615579282289455,0.00741186113932363,0.00741186113932363,0.00803057644578685,0.0286570247587956
"n500_d4",500,4,9,"gamlss2",-2315.10804691692,30.9763029330198,0.0136134317143136,0.0481896784235233,0.735468788562072,0.735468788562072,0.742747372872772,0.742747372872772,0.00422351541117398,0.0202197211766093
"n500_d4",500,4,10,"gamlss.longitudinal",-1525.01311804092,NA,0.0123353796966919,0.0586951616813674,-0.00209687493268749,0.00209687493268749,0.0020279084098848,0.0020279084098848,0.00953930342423678,0.0341332382197312
"n500_d4",500,4,10,"gamlss2",-2366.59303113434,32.6374542591217,0.0174235670651844,0.0894243987205141,0.725832603738694,0.725832603738694,0.748558788213494,0.748558788213494,0.00516771869048774,0.0152456001551743
"n500_d4",500,4,11,"gamlss.longitudinal",-1521.30399299873,NA,0.0142686858216855,0.0678608498555284,-0.00682778189589307,0.00682778189589307,0.00370893570452121,0.00370893570452121,0.00968237487283458,0.0268181889307768
"n500_d4",500,4,11,"gamlss2",-2367.25290720527,28.3405859693198,0.0130965088749185,0.0396665895590559,0.738322864449989,0.738322864449989,0.767083192144092,0.767083192144092,0.00242191342414409,0.00638315793974831
"n500_d4",500,4,12,"gamlss.longitudinal",-1596.74124689887,NA,0.0109812695773008,0.0282987673034163,-0.012179341620003,0.012179341620003,-0.00485914711952641,0.00485914711952641,0.005633060136899,0.0115790117101638
"n500_d4",500,4,12,"gamlss2",-2297.74185196485,30.9119438956269,0.00982064015980677,0.0302125020087406,0.70625275200475,0.70625275200475,0.719636729928749,0.719636729928749,0.00161447971778855,0.00798791492096357
"n500_d4",500,4,13,"gamlss.longitudinal",-1563.35607642477,NA,0.0126590990298606,0.0381621992340546,-0.0109392937103946,0.0109392937103946,0.0029449724973675,0.0029449724973675,0.0110077555845709,0.036145875374982
"n500_d4",500,4,13,"gamlss2",-2319.11713466724,29.494606135476,0.010292351267244,0.0252405384073689,0.732217421519595,0.732217421519595,0.743013910301134,0.743013910301134,0.00427661764155697,0.013546654544261
"n500_d4",500,4,14,"gamlss.longitudinal",-1615.85291202251,NA,0.0158637485595992,0.0625854010441752,-0.0095358281117606,0.0095358281117606,-0.0165741766995596,0.0165741766995596,0.0111936008752513,0.0372216363700415
"n500_d4",500,4,14,"gamlss2",-2421.62866237274,29.6513100608309,0.00831648264953461,0.0213175156629163,0.722488176809558,0.722488176809558,0.735063660705957,0.735063660705957,0.00514207657361543,0.0171319183985635
"n500_d4",500,4,15,"gamlss.longitudinal",-1460.91721415786,NA,0.0139844009496255,0.0536275395271077,-0.0107226283777112,0.0107226283777112,-0.0194739563873014,0.0194739563873014,0.00460481641792711,0.0119947644048738
"n500_d4",500,4,15,"gamlss2",-2162.37618449268,28.3703821521957,0.0141782997104759,0.0660133249722953,0.715452343218396,0.715452343218396,0.715383313168983,0.715383313168983,0.00311589926600399,0.0105455951959237
"n500_d4",500,4,16,"gamlss.longitudinal",-1592.2545356982,NA,0.0168658175160936,0.0539398981238074,-0.00980110146078234,0.00980110146078234,-0.0139674013382588,0.0139674013382588,0.00401756132185921,0.0179533387346013
"n500_d4",500,4,16,"gamlss2",-2522.55276498078,24.4948660510478,0.0139567374801057,0.0526493088818533,0.724111666686832,0.724111666686832,0.724413828664604,0.724413828664604,0.00509872834804657,0.0182067181631529
"n500_d4",500,4,17,"gamlss.longitudinal",-1532.76629362624,NA,0.0141310217291729,0.0782551250571498,0.0215360015351387,0.0215360015351387,0.0154882101364817,0.0154882101364817,0.00557488936825021,0.0143540814253067
"n500_d4",500,4,17,"gamlss2",-2321.56360377688,31.1996685396882,0.0155013978140601,0.0893938723632281,0.706671694779112,0.706671694779112,0.703857072568194,0.703857072568194,0.00300711281050024,0.0115888302091621
"n500_d4",500,4,18,"gamlss.longitudinal",-1512.56092268727,NA,0.0102603736791614,0.022740637684254,-0.0255801505203595,0.0255801505203595,-0.0250305969593461,0.0250305969593461,0.00202829508648747,0.00896752492950154
"n500_d4",500,4,18,"gamlss2",-2345.72281241259,25.4830060384358,0.0156874747020714,0.0991951640820682,0.699732772747887,0.699732772747887,0.709554052732909,0.709554052732909,0.00143352405085197,0.00824235772039915
"n500_d4",500,4,19,"gamlss.longitudinal",-1593.64747019235,NA,0.0227543147391598,0.163171783156776,0.0163615003117687,0.0163615003117687,0.0229993127425856,0.0229993127425856,0.00705546027223365,0.0276293163978585
"n500_d4",500,4,19,"gamlss2",-2358.7557536042,30.297874479517,0.0136304900852811,0.0360527199231747,0.703908750855701,0.703908750855701,0.728563269750871,0.728563269750871,0.00354218299568546,0.0155183255002612
"n500_d4",500,4,20,"gamlss.longitudinal",-1558.66364944651,NA,0.0181874540427671,0.102166290357953,-0.0234858778076336,0.0234858778076336,-0.0129936767208459,0.0129936767208459,0.00350338145479112,0.021605296946543
"n500_d4",500,4,20,"gamlss2",-2296.67241979422,27.595458758282,0.0127573155572181,0.0615924727307239,0.700099048421963,0.700099048421963,0.723147283215087,0.723147283215087,0.00115671538547502,0.0113302180143145
"n500_d4",500,4,21,"gamlss.longitudinal",-1517.01429974615,NA,0.0104152693994418,0.0308977364364002,0.0083291250287934,0.0083291250287934,0.000760038148350588,0.000760038148350588,0.00526624345218707,0.0205819295751508
"n500_d4",500,4,21,"gamlss2",-2265.02497316614,27.7444897152501,0.0142214014156766,0.0362864507198477,0.718322515451725,0.718322515451725,0.734225166947182,0.734225166947182,0.00280823746854758,0.00923940540526817
"n500_d4",500,4,22,"gamlss.longitudinal",-1573.57156889445,NA,0.0141855955139608,0.0873642613916564,-0.0309612520191213,0.0309612520191213,-0.0265402960014295,0.0265402960014295,0.00709790642642939,0.0213042112865175
"n500_d4",500,4,22,"gamlss2",-2394.77027923767,28.9932884159411,0.01045680491232,0.0274840689049348,0.754915616477617,0.754915616477617,0.76613848998791,0.76613848998791,0.00483178984640265,0.0101955702088746
"n500_d4",500,4,23,"gamlss.longitudinal",-1566.45942858519,NA,0.0147087268013431,0.0708002584479877,-0.012075669434579,0.012075669434579,-0.00602427818491117,0.00602427818491117,0.00373352253923637,0.0162689918284358
"n500_d4",500,4,23,"gamlss2",-2334.24898275738,31.4753939220946,0.00999326809631773,0.028303645108408,0.728990465040602,0.728990465040602,0.748904430426615,0.748904430426615,0.00417540687548912,0.0107986513161103
"n500_d4",500,4,24,"gamlss.longitudinal",-1410.2349557002,NA,0.01338166232399,0.0575328151786883,0.00203266048892299,0.00203266048892299,0.00728166537401712,0.00728166537401712,0.0103323588333771,0.0385646682420976
"n500_d4",500,4,24,"gamlss2",-2243.70873206589,25.3916529019798,0.0187476221829553,0.101969559348188,0.685866171470323,0.685866171470323,0.710966573928663,0.710966573928663,0.00495757924197346,0.0155152353414265
"n500_d4",500,4,25,"gamlss.longitudinal",-1559.37892978991,NA,0.0127833737308983,0.0422476811091367,0.00929114337849108,0.00929114337849108,0.0216885046417231,0.0216885046417231,0.00413944176870015,0.0182022000799916
"n500_d4",500,4,25,"gamlss2",-2321.26597826729,29.8268404109154,0.00802402700963678,0.0154058276210106,0.74819204895102,0.74819204895102,0.758434545902895,0.758434545902895,0.00329699493730819,0.00947029624824611
"n500_d4",500,4,26,"gamlss.longitudinal",-1508.28497897333,NA,0.019600565035667,0.106042367296038,-0.00904372417425034,0.00904372417425034,-0.00765958108000843,0.00765958108000843,0.00673115702113104,0.0200348506334458
"n500_d4",500,4,26,"gamlss2",-2257.65440700881,28.7031865286873,0.0103902534776557,0.0250588054840951,0.721064395038478,0.721064395038478,0.737351262065893,0.737351262065893,0.00428480240207246,0.016181045413656
"n500_d4",500,4,27,"gamlss.longitudinal",-1492.23632201822,NA,0.0163232647107593,0.0926439852833282,0.0250897101633672,0.0250897101633672,0.0242497349444916,0.0242497349444916,0.00496933342486316,0.0162542394809864
"n500_d4",500,4,27,"gamlss2",-2238.91110856917,28.8670589121069,0.0106512314907015,0.052378328117977,0.7108242599474,0.7108242599474,0.738471501276091,0.738471501276091,0.00131329245051676,0.00639606670898757
"n500_d4",500,4,28,"gamlss.longitudinal",-1508.10808666995,NA,0.0172719142885052,0.0928650083929911,-0.0342519964959365,0.0342519964959365,-0.0296940777356621,0.0296940777356621,0.00570226816323241,0.0154260385240935
"n500_d4",500,4,28,"gamlss2",-2244.53077618119,31.9242521043193,0.0178711076702031,0.0895826805384759,0.706653401614959,0.706653401614959,0.724915805132117,0.724915805132117,0.00388529495277859,0.00732679093898304
"n500_d4",500,4,29,"gamlss.longitudinal",-1555.45135661821,NA,0.0153344337011551,0.096603225047309,0.0180260150341259,0.0180260150341259,0.0182699047641944,0.0182699047641944,0.0150173748604518,0.0545586099288762
"n500_d4",500,4,29,"gamlss2",-2323.1421783241,28.9362945669335,0.0179205787957631,0.0854297543168132,0.73139543817824,0.73139543817824,0.742659950836536,0.742659950836536,0.00633498950130405,0.0228118321996698
"n500_d4",500,4,30,"gamlss.longitudinal",-1551.79808370514,NA,0.0147984077713016,0.0618934605005247,0.0178341448057647,0.0178341448057647,0.0101359407879341,0.0101359407879341,0.00447662561102888,0.0165277047720458
"n500_d4",500,4,30,"gamlss2",-2269.37989955867,31.095897109521,0.0155453689161307,0.0560071126883785,0.723865986636806,0.723865986636806,0.743221021694569,0.743221021694569,0.00109665428265449,0.0041738133372394
"n500_d4",500,4,31,"gamlss.longitudinal",-1587.23121216657,NA,0.0134598787940488,0.0477915090390311,0.00429482484583437,0.00429482484583437,-0.00205350020070668,0.00205350020070668,0.00507202752421096,0.0135646394666585
"n500_d4",500,4,31,"gamlss2",-2347.74228571548,28.3636644978425,0.0143869639626151,0.0410881835990367,0.71132360755387,0.71132360755387,0.73480779346923,0.73480779346923,0.000597079195694669,0.00480791959500246
"n500_d4",500,4,32,"gamlss.longitudinal",-1479.51544716594,NA,0.0197964766929373,0.112684356319274,-0.00631865051457992,0.00631865051457992,-0.00146611885689281,0.00146611885689281,0.00915203352277698,0.030692745669431
"n500_d4",500,4,32,"gamlss2",-2273.49730017545,32.7828945970614,0.0136037422885422,0.066570996503481,0.726977348804606,0.726977348804606,0.742155114195736,0.742155114195736,0.00331119330950091,0.0116588132045801
"n500_d4",500,4,33,"gamlss.longitudinal",-1530.20279818956,NA,0.023146948188811,0.128130685675143,0.00136448799702682,0.00136448799702682,0.00195738367743841,0.00195738367743841,0.00581083585076626,0.0192866716783022
"n500_d4",500,4,33,"gamlss2",-2253.31172546708,27.2354133572206,0.0124561416172942,0.0578172662933119,0.703956293690132,0.703956293690132,0.733367915806939,0.733367915806939,0.00254955310624326,0.00852975143213816
"n500_d4",500,4,34,"gamlss.longitudinal",-1538.71239718357,NA,0.016411801680907,0.0727279514700524,0.00917881159264038,0.00917881159264038,0.0196583470585765,0.0196583470585765,0.0136917070234939,0.0406519130435239
"n500_d4",500,4,34,"gamlss2",-2417.6823696822,30.4295221531642,0.0114999613687031,0.0399138480764785,0.744265473400896,0.744265473400896,0.760584283156675,0.760584283156675,0.00533241270651048,0.0151596697450025
"n500_d4",500,4,35,"gamlss.longitudinal",-1466.47144075429,NA,0.0143182364646548,0.0924697426294508,0.0248597769854953,0.0248597769854953,0.0165735572358987,0.0165735572358987,0.00485849254134675,0.00705836644075426
"n500_d4",500,4,35,"gamlss2",-2264.87075646422,31.5124651317735,0.012242988208318,0.0395053966196787,0.752818135077679,0.752818135077679,0.764994553825602,0.764994553825602,0.00376240384230303,0.00902784889552587
"n500_d4",500,4,36,"gamlss.longitudinal",-1546.40157678368,NA,0.0166599262356552,0.0697388537514629,0.00165487400396098,0.00165487400396098,-0.00235565880071305,0.00235565880071305,0.00621310375050096,0.0225804898416878
"n500_d4",500,4,36,"gamlss2",-2300.40252740623,31.9473921888721,0.0111216839368113,0.0436348995220939,0.7109366710306,0.7109366710306,0.724494608701205,0.724494608701205,0.00252261348872129,0.00869035197305548
"n500_d4",500,4,37,"gamlss.longitudinal",-1550.84085368568,NA,0.0118873089582368,0.0510579763934819,0.00538555893528734,0.00538555893528734,-0.00538352114545902,0.00538352114545902,0.00656907926854625,0.0191485894955346
"n500_d4",500,4,37,"gamlss2",-2257.92239831793,30.2885783963058,0.0107404050814665,0.0287408083696854,0.7117179774486,0.7117179774486,0.721812192048864,0.721812192048864,0.00266638853859996,0.00966733570079651
"n500_d4",500,4,38,"gamlss.longitudinal",-1668.19770684262,NA,0.0318103286978437,0.248282790075888,-0.0287850373308637,0.0287850373308637,-0.0332319679037897,0.0332319679037897,0.0126109385152828,0.0401154718244962
"n500_d4",500,4,38,"gamlss2",-2380.09520495073,33.231586243926,0.0137336870049429,0.0325954561088687,0.696645505166501,0.696645505166501,0.717106249221107,0.717106249221107,0.0057968686549932,0.0192838483659312
"n500_d4",500,4,39,"gamlss.longitudinal",-1527.89138970599,NA,0.0166875111732721,0.125590772117719,-0.0122948683424479,0.0122948683424479,-0.0158624361444347,0.0158624361444347,0.00428410528396704,0.0134689253128991
"n500_d4",500,4,39,"gamlss2",-2353.78818489337,30.843362104442,0.0128732455653167,0.039351165561443,0.741272431332985,0.741272431332985,0.762433510028388,0.762433510028388,0.00225783134566365,0.00807968423765999
"n500_d4",500,4,40,"gamlss.longitudinal",-1373.78624161408,NA,0.0092389609221144,0.0190701063433141,-0.00892798667114712,0.00892798667114712,-0.0101151406195673,0.0101151406195673,0.00866323552708659,0.0313906594155721
"n500_d4",500,4,40,"gamlss2",-2135.43772862311,28.5341743625927,0.0114268918717088,0.0300618399345466,0.74163001079184,0.74163001079184,0.761498828243227,0.761498828243227,0.00586621567483071,0.0190803839417493
"n500_d4",500,4,41,"gamlss.longitudinal",-1573.09062425185,NA,0.0138991953238665,0.0457484023931118,-0.0141438509027205,0.0141438509027205,-0.0183341409552851,0.0183341409552851,0.00363954360571184,0.0154701500814477
"n500_d4",500,4,41,"gamlss2",-2277.08502712885,32.6383799849553,0.0172609085396048,0.0802215059162407,0.711022354196458,0.711022354196458,0.719149594669999,0.719149594669999,0.0054215471362653,0.015047013800289
"n500_d4",500,4,42,"gamlss.longitudinal",-1412.88902121275,NA,0.0141609286377293,0.0539622547300592,0.00313205725488667,0.00313205725488667,0.00790765226436844,0.00790765226436844,0.00213789230606259,0.00866011373808728
"n500_d4",500,4,42,"gamlss2",-2229.54421575902,28.7748316695714,0.0124939594482086,0.054316808442531,0.753868863282858,0.753868863282858,0.755768922647949,0.755768922647949,0.00166603393947932,0.00715362534053384
"n500_d4",500,4,43,"gamlss.longitudinal",-1453.95343746363,NA,0.011079037577946,0.0411347214485552,-0.00123606800303949,0.00123606800303949,0.00531071327599961,0.00531071327599961,0.005196096494287,0.0192652100837104
"n500_d4",500,4,43,"gamlss2",-2310.44392332004,30.4835441247836,0.0142755942086582,0.0546994147153405,0.739611123912855,0.739611123912855,0.76641801225199,0.76641801225199,0.00442132284502011,0.0147818971044847
"n500_d4",500,4,44,"gamlss.longitudinal",-1481.55632261581,NA,0.0134710435250783,0.0506851204837991,-0.0116820241253399,0.0116820241253399,-0.025521385880083,0.025521385880083,0.00818550950661115,0.0309938589276808
"n500_d4",500,4,44,"gamlss2",-2208.91476803581,27.7091955572991,0.00867339531006595,0.0261102702044386,0.720536905561223,0.720536905561223,0.731711547928767,0.731711547928767,0.00434254115798574,0.0134981808447397
"n500_d4",500,4,45,"gamlss.longitudinal",-1599.37704372891,NA,0.0138207064373582,0.0499571569401921,0.0226843135284969,0.0226843135284969,0.0112353059394253,0.0112353059394253,0.00738881754137208,0.0309203671828364
"n500_d4",500,4,45,"gamlss2",-2309.2870612728,29.4796214665458,0.0107439895888223,0.0325029078491393,0.687461008195937,0.687461008195937,0.706083977248146,0.706083977248146,0.00396993519380442,0.0164938721487196
"n500_d4",500,4,46,"gamlss.longitudinal",-1560.73193664063,NA,0.0121481226769419,0.034506885504234,-0.0283062847328506,0.0283062847328506,-0.0159557883944272,0.0159557883944272,0.0115854741787435,0.0352764129394459
"n500_d4",500,4,46,"gamlss2",-2385.78449565883,30.0885365773448,0.0150148196351771,0.0521085365241347,0.720804871282282,0.720804871282282,0.721169244471291,0.721169244471291,0.00507723330030778,0.016966148589753
"n500_d4",500,4,47,"gamlss.longitudinal",-1588.78105001462,NA,0.0189673154224476,0.0645066996722792,0.000503975133230027,0.000503975133230027,-0.00495430745806773,0.00495430745806773,0.00688756856000197,0.0177282809012258
"n500_d4",500,4,47,"gamlss2",-2415.98219382728,31.5708064211596,0.0170387202171035,0.0653794472878103,0.745019875210474,0.745019875210474,0.756719878453561,0.756719878453561,0.00289096824324674,0.00489595412796432
"n500_d4",500,4,48,"gamlss.longitudinal",-1471.26151527454,NA,0.0160471503424456,0.0594405423992791,0.018379532810112,0.018379532810112,0.0224923679906907,0.0224923679906907,0.00684774457294479,0.0221460586556413
"n500_d4",500,4,48,"gamlss2",-2215.35095677732,28.8367697409781,0.0187241928051637,0.0736259377919457,0.730825041765543,0.730825041765543,0.738381324769799,0.738381324769799,0.00330190776302346,0.0134229489007489
"n500_d4",500,4,49,"gamlss.longitudinal",-1515.74774076713,NA,0.0182760113949385,0.0701505769588736,0.00155903495847814,0.00155903495847814,-0.0112994951513738,0.0112994951513738,0.00692319846601434,0.0251458546710922
"n500_d4",500,4,49,"gamlss2",-2322.72567744068,30.0789186245545,0.0139829014097848,0.0511749608824973,0.746184211138727,0.746184211138727,0.751735740951476,0.751735740951476,0.00320741048033789,0.0117960391528167
"n500_d4",500,4,50,"gamlss.longitudinal",-1542.65896813993,NA,0.0186080230918743,0.0731770041312215,0.00719517194573259,0.00719517194573259,0.0127763309152205,0.0127763309152205,0.0136920648806377,0.05099546981959
"n500_d4",500,4,50,"gamlss2",-2330.77008768649,31.0917448134587,0.0130006232401381,0.0538872539128213,0.708320002939166,0.708320002939166,0.734462240448842,0.734462240448842,0.00703285836815074,0.0241891230270797
"n500_d4",500,4,51,"gamlss.longitudinal",-1537.15349159615,NA,0.01162682906316,0.0369996228127878,-0.00776193139972538,0.00776193139972538,-0.00597304841287633,0.00597304841287633,0.0124310166448533,0.0415298964711307
"n500_d4",500,4,51,"gamlss2",-2332.54638003324,30.8846099951846,0.0119821486297839,0.0307589001960869,0.737954113437519,0.737954113437519,0.752569392520445,0.752569392520445,0.00466899045945558,0.0159423628413333
"n500_d4",500,4,52,"gamlss.longitudinal",-1482.15466995297,NA,0.0111174401926795,0.0354085013955366,-0.00321231445148788,0.00321231445148788,-0.00768285728912277,0.00768285728912277,0.00868395601604836,0.028755811907926
"n500_d4",500,4,52,"gamlss2",-2238.05534634448,28.6235196322985,0.0134514831248816,0.0507918960278035,0.712535729404442,0.712535729404442,0.724011186477622,0.724011186477622,0.00458593649869285,0.0157790064974013
"n500_d4",500,4,53,"gamlss.longitudinal",-1531.75911994487,NA,0.0155984383982155,0.0594188162794524,0.0140625628610095,0.0140625628610095,0.00747579923605151,0.00747579923605151,0.00865712273406988,0.028633070350774
"n500_d4",500,4,53,"gamlss2",-2259.15944722643,26.1476053653001,0.0161998716253374,0.0718495614636909,0.719989405444259,0.719989405444259,0.723105615576849,0.723105615576849,0.00220307662747256,0.00664142892730141
"n500_d4",500,4,54,"gamlss.longitudinal",-1436.91541619233,NA,0.0102694885445005,0.0382276410246592,-0.00532467209733048,0.00532467209733048,-0.00273273826101477,0.00273273826101477,0.00798460230331187,0.0260721575007709
"n500_d4",500,4,54,"gamlss2",-2192.72264983763,28.5344130073162,0.0158248553013522,0.070979475020138,0.730454658074841,0.730454658074841,0.741179761308982,0.741179761308982,0.00404127672085765,0.017890593446485
"n500_d4",500,4,55,"gamlss.longitudinal",-1360.80890266685,NA,0.0152151404602199,0.0487363341744938,0.00253988690445137,0.00253988690445137,0.00577719216017849,0.00577719216017849,0.00954736284616201,0.0287157279504142
"n500_d4",500,4,55,"gamlss2",-2129.92036029392,32.0036069727915,0.00899239232544252,0.0228438932818271,0.739071867327003,0.739071867327003,0.753852331248631,0.753852331248631,0.00574904532107097,0.0162220025792614
"n500_d4",500,4,56,"gamlss.longitudinal",-1565.10712316565,NA,0.0106195001041154,0.0403164204817119,-0.0262565105372756,0.0262565105372756,-0.028838882349631,0.028838882349631,0.00472559298768069,0.0124653124070375
"n500_d4",500,4,56,"gamlss2",-2337.74366270083,31.59888706203,0.0119338210432433,0.0382348789860369,0.726364567407533,0.726364567407533,0.732481145712708,0.732481145712708,0.00178899503152564,0.00598455613071353
"n500_d4",500,4,57,"gamlss.longitudinal",-1424.90446367936,NA,0.0187048222746505,0.084357964678287,0.000935671952367237,0.000935671952367237,0.00524616912058559,0.00524616912058559,0.0046421864077572,0.0102591346085917
"n500_d4",500,4,57,"gamlss2",-2240.26022952613,29.2626868719506,0.0125456493470358,0.0392605830771467,0.740891042602618,0.740891042602618,0.755513883573268,0.755513883573268,0.00347466562832766,0.00885314043169833
"n500_d4",500,4,58,"gamlss.longitudinal",-1520.30843858269,NA,0.00912543205919658,0.0189995963507133,0.0171207947597649,0.0171207947597649,0.0268162658007179,0.0268162658007179,0.00111445806937031,0.00746588393170469
"n500_d4",500,4,58,"gamlss2",-2273.28173209008,28.0573286191117,0.0110972313499141,0.0411437773258579,0.722418581711462,0.722418581711462,0.734147498946414,0.734147498946414,0.00121647745498656,0.0025986933688412
"n500_d4",500,4,59,"gamlss.longitudinal",-1603.86988467911,NA,0.0121938036080853,0.036518703087978,0.0102082935956388,0.0102082935956388,0.0123197465295849,0.0123197465295849,0.00530994820642176,0.0190328625236709
"n500_d4",500,4,59,"gamlss2",-2417.40473257482,30.6688472173455,0.0205939042339874,0.114286150176319,0.7348766414027,0.7348766414027,0.755317325637596,0.755317325637596,0.00298996940474251,0.0154850744382741
"n500_d4",500,4,60,"gamlss.longitudinal",-1402.07212144282,NA,0.0112193046804877,0.0248680688074036,0.000338632133370111,0.000338632133370111,0.00814432512502561,0.00814432512502561,0.00914101921600831,0.0324916733137189
"n500_d4",500,4,60,"gamlss2",-2170.51698530468,31.7748429715796,0.0133975551956489,0.0443655890728895,0.711830737932369,0.711830737932369,0.717843047177806,0.717843047177806,0.00487996632778344,0.0173656216706795
"n500_d4",500,4,61,"gamlss.longitudinal",-1455.10998209336,NA,0.0175922929747038,0.0732620626385275,-0.00574315786018032,0.00574315786018032,0.00793405536315411,0.00793405536315411,0.00515846370066603,0.0164130743382144
"n500_d4",500,4,61,"gamlss2",-2221.68101527504,31.804123145336,0.00865226156721044,0.025518481887114,0.708895752390114,0.708895752390114,0.729376939267805,0.729376939267805,0.00268031514052477,0.0107270328223507
"n500_d4",500,4,62,"gamlss.longitudinal",-1446.35017674465,NA,0.0105442118925399,0.0344478231858423,-0.00241018433520702,0.00241018433520702,-0.0107553408886238,0.0107553408886238,0.0117408865940578,0.0404524197504365
"n500_d4",500,4,62,"gamlss2",-2277.40982041763,23.4393973490637,0.0122364734252172,0.0359575028188153,0.714401073019292,0.714401073019292,0.722943530217965,0.722943530217965,0.00497423322893413,0.020936115376941
"n500_d4",500,4,63,"gamlss.longitudinal",-1413.64702615162,NA,0.0157069176426435,0.0732521633214131,-0.00546726132885307,0.00546726132885307,-0.00979923693583301,0.00979923693583301,0.00324690621578319,0.00978182890081403
"n500_d4",500,4,63,"gamlss2",-2178.80838470065,32.5695008121554,0.0184363172208887,0.0678167968680684,0.721358866543925,0.721358866543925,0.736488716299605,0.736488716299605,0.00171533729307247,0.00614581965871223
"n500_d4",500,4,64,"gamlss.longitudinal",-1493.48985414709,NA,0.0189814182937115,0.136710242691243,-0.0103177661981804,0.0103177661981804,-0.0157613823722115,0.0157613823722115,0.010521147425005,0.0353117685730161
"n500_d4",500,4,64,"gamlss2",-2175.77658540708,30.1687004732151,0.0115848565731429,0.0447212347317025,0.700449037898597,0.700449037898597,0.714267268669781,0.714267268669781,0.00563150958925268,0.0220224281623329
