"scenario","n","d","rep","model","test_log_score_joint","test_log_score_marginal","test_log_score_copula","test_log_score_per_obs","predictive_nsim","variogram_score","variogram_p"
"n500_d4",500,4,1,"gamlss.longitudinal",-1523.14461370986,-2356.36808294093,833.223469231078,-0.761572306854928,200,0.748598723240664,0.5
"n500_d4",500,4,1,"gamlss.longitudinal",-1523.14461370986,-2356.36808294093,833.223469231078,-0.761572306854928,200,65.9221979633214,2
"n500_d4",500,4,1,"gamlss2",-2366.69149754379,-2366.69149754379,0,-1.18334574877189,200,1.27290691523762,0.5
"n500_d4",500,4,1,"gamlss2",-2366.69149754379,-2366.69149754379,0,-1.18334574877189,200,5523.7339207967,2
"n500_d4",500,4,2,"gamlss.longitudinal",-1572.53250708536,-2328.01394499322,755.481437907861,-0.786266253542681,200,0.727256499971311,0.5
"n500_d4",500,4,2,"gamlss.longitudinal",-1572.53250708536,-2328.01394499322,755.481437907861,-0.786266253542681,200,41.9328990844192,2
"n500_d4",500,4,2,"gamlss2",-2338.99122141162,-2338.99122141162,0,-1.16949561070581,200,1.20022527012318,0.5
"n500_d4",500,4,2,"gamlss2",-2338.99122141162,-2338.99122141162,0,-1.16949561070581,200,136.544476452014,2
"n500_d4",500,4,3,"gamlss.longitudinal",-1566.84975548098,-2424.5186029907,857.668847509718,-0.78342487774049,200,0.689429007638621,0.5
"n500_d4",500,4,3,"gamlss.longitudinal",-1566.84975548098,-2424.5186029907,857.668847509718,-0.78342487774049,200,29.8765921390912,2
"n500_d4",500,4,3,"gamlss2",-2484.28384445904,-2484.28384445904,0,-1.24214192222952,200,1.29977910033727,0.5
"n500_d4",500,4,3,"gamlss2",-2484.28384445904,-2484.28384445904,0,-1.24214192222952,200,89.7794326047352,2
"n500_d4",500,4,4,"gamlss.longitudinal",-1532.83608502536,-2354.33652961656,821.500444591205,-0.76641804251268,200,0.718171541453359,0.5
"n500_d4",500,4,4,"gamlss.longitudinal",-1532.83608502536,-2354.33652961656,821.500444591205,-0.76641804251268,200,42.0519535797954,2
"n500_d4",500,4,4,"gamlss2",-2387.88055381885,-2387.88055381885,0,-1.19394027690943,200,1.35815210055277,0.5
"n500_d4",500,4,4,"gamlss2",-2387.88055381885,-2387.88055381885,0,-1.19394027690943,200,661.401864774667,2
"n500_d4",500,4,5,"gamlss.longitudinal",-1518.33348389029,-2324.18501757959,805.851533689303,-0.759166741945144,200,0.75327975291577,0.5
"n500_d4",500,4,5,"gamlss.longitudinal",-1518.33348389029,-2324.18501757959,805.851533689303,-0.759166741945144,200,168.597919918143,2
"n500_d4",500,4,5,"gamlss2",-2350.00114226901,-2350.00114226901,0,-1.17500057113451,200,1.12943053530645,0.5
"n500_d4",500,4,5,"gamlss2",-2350.00114226901,-2350.00114226901,0,-1.17500057113451,200,213.095698085856,2
"n500_d4",500,4,6,"gamlss.longitudinal",-1474.5656226481,-2287.52868917087,812.96306652277,-0.737282811324051,200,0.687801174182182,0.5
"n500_d4",500,4,6,"gamlss.longitudinal",-1474.5656226481,-2287.52868917087,812.96306652277,-0.737282811324051,200,34.9677119184549,2
"n500_d4",500,4,6,"gamlss2",-2303.14483109949,-2303.14483109949,0,-1.15157241554974,200,1.24822325658676,0.5
"n500_d4",500,4,6,"gamlss2",-2303.14483109949,-2303.14483109949,0,-1.15157241554974,200,145.383164284313,2
"n500_d4",500,4,7,"gamlss.longitudinal",-1609.45857423065,-2315.96858280084,706.510008570194,-0.804729287115325,200,0.743409974210985,0.5
"n500_d4",500,4,7,"gamlss.longitudinal",-1609.45857423065,-2315.96858280084,706.510008570194,-0.804729287115325,200,56.1854679031321,2
"n500_d4",500,4,7,"gamlss2",-2333.9251705234,-2333.9251705234,0,-1.1669625852617,200,1.2211302132901,0.5
"n500_d4",500,4,7,"gamlss2",-2333.9251705234,-2333.9251705234,0,-1.1669625852617,200,149.244933067745,2
"n500_d4",500,4,8,"gamlss.longitudinal",-1591.27860392438,-2405.39785517911,814.119251254727,-0.795639301962191,200,0.726723845985912,0.5
"n500_d4",500,4,8,"gamlss.longitudinal",-1591.27860392438,-2405.39785517911,814.119251254727,-0.795639301962191,200,28.5601349812063,2
"n500_d4",500,4,8,"gamlss2",-2418.60522703777,-2418.60522703777,0,-1.20930261351888,200,1.16840381013742,0.5
"n500_d4",500,4,8,"gamlss2",-2418.60522703777,-2418.60522703777,0,-1.20930261351888,200,84.8554987485406,2
"n500_d4",500,4,9,"gamlss.longitudinal",-1454.08154335404,-2278.37762539167,824.296082037629,-0.727040771677019,200,0.668906913381383,0.5
"n500_d4",500,4,9,"gamlss.longitudinal",-1454.08154335404,-2278.37762539167,824.296082037629,-0.727040771677019,200,25.1278749513952,2
"n500_d4",500,4,9,"gamlss2",-2312.49728152343,-2312.49728152343,0,-1.15624864076171,200,1.24831432614315,0.5
"n500_d4",500,4,9,"gamlss2",-2312.49728152343,-2312.49728152343,0,-1.15624864076171,200,117.187336383393,2
"n500_d4",500,4,10,"gamlss.longitudinal",-1589.62283212025,-2345.49434978608,755.871517665831,-0.794811416060126,200,0.750672590522442,0.5
"n500_d4",500,4,10,"gamlss.longitudinal",-1589.62283212025,-2345.49434978608,755.871517665831,-0.794811416060126,200,45.8810759248048,2
"n500_d4",500,4,10,"gamlss2",-2363.04509476812,-2363.04509476812,0,-1.18152254738406,200,1.25016452671365,0.5
"n500_d4",500,4,10,"gamlss2",-2363.04509476812,-2363.04509476812,0,-1.18152254738406,200,139.179083523317,2
"n500_d4",500,4,11,"gamlss.longitudinal",-1651.14211148841,-2439.56487866422,788.422767175811,-0.825571055744204,200,0.757540754602057,0.5
"n500_d4",500,4,11,"gamlss.longitudinal",-1651.14211148841,-2439.56487866422,788.422767175811,-0.825571055744204,200,74.7638542768687,2
"n500_d4",500,4,11,"gamlss2",-2455.78510251318,-2455.78510251318,0,-1.22789255125659,200,1.17556534414838,0.5
"n500_d4",500,4,11,"gamlss2",-2455.78510251318,-2455.78510251318,0,-1.22789255125659,200,131.438062946433,2
"n500_d4",500,4,12,"gamlss.longitudinal",-1560.47875511575,-2340.41257119357,779.93381607782,-0.780239377557875,200,0.70733826070085,0.5
"n500_d4",500,4,12,"gamlss.longitudinal",-1560.47875511575,-2340.41257119357,779.93381607782,-0.780239377557875,200,35.6438333017969,2
"n500_d4",500,4,12,"gamlss2",-2367.12122307536,-2367.12122307536,0,-1.18356061153768,200,1.12750400898123,0.5
"n500_d4",500,4,12,"gamlss2",-2367.12122307536,-2367.12122307536,0,-1.18356061153768,200,61.9148898714541,2
"n500_d4",500,4,13,"gamlss.longitudinal",-1651.07540984576,-2454.48021870493,803.404808859172,-0.82553770492288,200,0.801133853649498,0.5
"n500_d4",500,4,13,"gamlss.longitudinal",-1651.07540984576,-2454.48021870493,803.404808859172,-0.82553770492288,200,143.803171247928,2
"n500_d4",500,4,13,"gamlss2",-2491.91239068395,-2491.91239068395,0,-1.24595619534197,200,1.2192944002785,0.5
"n500_d4",500,4,13,"gamlss2",-2491.91239068395,-2491.91239068395,0,-1.24595619534197,200,168.08997962561,2
"n500_d4",500,4,14,"gamlss.longitudinal",-1570.43447040185,-2369.2641777298,798.829707327951,-0.785217235200925,200,0.737800420931757,0.5
"n500_d4",500,4,14,"gamlss.longitudinal",-1570.43447040185,-2369.2641777298,798.829707327951,-0.785217235200925,200,47.599864064375,2
