"scenario","n","d","rep","model","parameter","s1","smooth_hat","smooth_true"
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0,-0.0249601074110656,8.15367795041445e-18
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.01,0.0130690547354982,0.0345347857411224
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.02,0.052068017459858,0.0689332784603674
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.03,0.0908487234160079,0.103059723022149
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.04,0.129215782817439,0.13677943794067
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.05,0.166930525300111,0.169959346906221
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.06,0.203694594951222,0.202468503976573
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.07,0.23919924286674,0.23417861036079
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.08,0.273247993646547,0.264964520755943
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.09,0.305579315976559,0.294704737238448
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.1,0.335911673201927,0.32328188876086
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.11,0.364097496731467,0.350583194361779
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.12,0.389846777826348,0.376500908260779
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.13,0.413578530229543,0.400932745081776
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.14,0.435147076014363,0.423782283526684
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.15,0.454144975745066,0.444959346906221
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.16,0.470908022059802,0.464380359026108
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.17,0.485402885716914,0.481968674024125
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.18,0.497649377195973,0.497654878856311
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.19,0.507788076220474,0.511377067238538
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.2,0.515916086404648,0.523081083962334
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.21,0.522060254313355,0.532720738620747
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.22,0.526346334545264,0.540257987900779
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.23,0.528640046428505,0.545663085722963
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.24,0.529485161063955,0.548914700635549
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.25,0.528585860639221,0.55
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.26,0.52595303733696,0.548914700635549
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.27,0.521589559536422,0.545663085722963
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.28,0.515722209941468,0.540257987900779
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.29,0.50806464333408,0.532720738620747
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.3,0.498706907414604,0.523081083962335
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.31,0.48757166421789,0.511377067238538
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.32,0.474669996289459,0.497654878856311
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.33,0.459946931774023,0.481968674024125
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.34,0.443455117412276,0.464380359026108
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.35,0.425245895904496,0.444959346906221
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.36,0.405149896334655,0.423782283526684
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.37,0.383605574844397,0.400932745081776
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.38,0.360330782983629,0.376500908260779
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.39,0.335504436735558,0.350583194361779
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.4,0.309492481562399,0.32328188876086
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.41,0.282184886500898,0.294704737238448
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.42,0.253840972632067,0.264964520755944
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.43,0.224559123304753,0.23417861036079
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.44,0.194520550675969,0.202468503976573
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.45,0.16386364536644,0.169959346906221
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.46,0.132767950731998,0.13677943794067
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.47,0.101327960990327,0.103059723022149
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.48,0.0696734989661759,0.0689332784603675
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.49,0.0378963217473443,0.0345347857411225
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.5,0.00606723187306562,7.55070274106452e-17
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.51,-0.0257606289810091,-0.0345347857411223
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.52,-0.0575452765816259,-0.0689332784603674
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.53,-0.0892595847309585,-0.103059723022149
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.54,-0.120875086002906,-0.13677943794067
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.55,-0.152371888116966,-0.169959346906221
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.56,-0.183706408759757,-0.202468503976573
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.57,-0.214856888697201,-0.23417861036079
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.58,-0.245748003791915,-0.264964520755943
"n500_d4",500,4,1,"gamlss.longitudinal","mu",0.59,-0.276360320168952,-0.294704737238448
