"scenario","model","n","d","parameter","rep","bias_abs_integrated","irmse","mean_logLik","mean_df"
"n500_d4","gamlss.longitudinal",500,4,"mu",1,0.0205374700773724,0.0261867223125571,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",25,0.0312317066430429,0.0382974231345488,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",1,0.0614136679265953,0.0721223913134607,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",25,0.0142886462395123,0.0168524995873811,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",1,0.0337442010719708,0.0429778852996948,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",2,0.0246461037807884,0.0292550344781211,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",26,0.0416506784822942,0.0467097759481663,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",2,0.0175348333870537,0.0204720150750805,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",26,0.0885783215006383,0.102540070923385,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",2,0.0470117429348407,0.0532599837605302,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",3,0.0133458481957676,0.0155276299583282,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",27,0.031897066616018,0.0383572444613456,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",3,0.0705964265035557,0.0790647653175507,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",27,0.0492248121733617,0.0571302126273545,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",3,0.0334755821201277,0.0374927409843731,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",4,0.0320843813939436,0.0410782997920538,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",28,0.0427345673762163,0.0490022891332182,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",4,0.0670844767703575,0.0721731715033146,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",28,0.0169558468389794,0.019842919944356,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",4,0.0267255703184444,0.0303370834828198,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",5,0.0413594602727926,0.0473843003123879,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",29,0.037039092955168,0.043356226734941,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",5,0.0583829316098629,0.0722431668638245,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",29,0.0257844952517122,0.034701216362213,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",5,0.0547340247304452,0.0680582650441597,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",6,0.0176662479117636,0.0223855099602535,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",30,0.0288850777556592,0.0356911929748518,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",6,0.0407050037472839,0.0461513973706302,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",30,0.0200192271875119,0.0331613295518079,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",6,0.0424485450312856,0.0498804884030581,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",7,0.0227922692494157,0.0269880655267276,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",31,0.0656564221739901,0.0726656968780746,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",7,0.0334125724301468,0.0408585055854955,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",31,0.0849370959268382,0.103254825375354,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",7,0.0552881410148721,0.0679439076746917,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",8,0.02073742161384,0.0352357599612509,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",32,0.0471972601958113,0.0537121588273438,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",8,0.0523327254799617,0.0626961620654314,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",32,0.0532140214789796,0.0605018684047513,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",8,0.0252828527135263,0.0293931756392391,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",9,0.0196054986757859,0.0220544900238482,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",33,0.0481468862832785,0.0556808409388979,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",9,0.0310281313450279,0.0375373924022259,-1510.08638146783,NA
