"generating_copula","fitted_copula","tau_label","target_tau","n_subject","metric","lhs_method","rhs_method","contrast","n_attempted","n_retained","estimate","mcse","ci_lower","ci_upper","confidence_level","ci_method","seed_pairing"
"C","N","high",0.55,50,"joint_loglik","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,-19.4254040783571,0.750110429050048,-20.91378590724,-17.9370222494743,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","high",0.55,50,"margin_param_rmse","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.00233574928478722,0.00172150287466176,-0.0010800859013214,0.00575158447089583,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","high",0.55,50,"tau_abs_error","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.0163034536218283,0.00352193758556218,0.00931516536212654,0.0232917418815302,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","high",0.55,150,"joint_loglik","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,-62.0579253155533,1.24018388275434,-64.5187191987988,-59.5971314323079,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","high",0.55,150,"margin_param_rmse","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.000787355753547444,0.00106327440327983,-0.00132241134162832,0.00289712284872321,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","high",0.55,150,"tau_abs_error","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.0106793697980308,0.00221488763836583,0.00628455220012609,0.0150741873959355,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","high",0.55,500,"joint_loglik","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,-217.191661511621,2.41407668254084,-221.981713387548,-212.401609635694,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","high",0.55,500,"margin_param_rmse","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.000640818010767346,0.000811495839236786,-0.000969365789588131,0.00225100181112282,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","high",0.55,500,"tau_abs_error","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.0136668572340375,0.00188404699911454,0.0099284992408089,0.0174052152272661,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","moderate",0.25,50,"joint_loglik","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,-3.90608254211275,0.301372821057017,-4.5040716024015,-3.30809348182399,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","moderate",0.25,50,"margin_param_rmse","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.00103764945819064,0.000694764304295154,-0.000340913651748945,0.00241621256813023,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","moderate",0.25,50,"tau_abs_error","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.0100090698442612,0.00295075404178401,0.00415413365459122,0.0158640060339311,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","moderate",0.25,150,"joint_loglik","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,-13.2618598658825,0.552599651446425,-14.3583374617232,-12.1653822700418,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","moderate",0.25,150,"margin_param_rmse","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.000225847459049957,0.00038956017420341,-0.000547124442267408,0.000998819360367322,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","moderate",0.25,150,"tau_abs_error","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.00681341949576117,0.00164215262662271,0.00355503241692423,0.0100718065745981,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","moderate",0.25,500,"joint_loglik","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,-42.6199901337853,1.03805748986078,-44.6797214018883,-40.5602588656823,0.95,"paired_t","registered_dataset_seed_exact"
"C","N","moderate",0.25,500,"margin_param_rmse","misspecified_copula","correctly_specified_copula","misspecified_minus_correct_same_dataset",100,100,0.000290029647217439,0.000224544686724239,-0.000155515726569457,0.000735575021004335,0.95,"paired_t","registered_dataset_seed_exact"
