"generating_copula","tau_label","n_subject","rep","fit_id","margin_family","capability_registry_version","producer_sha256","package_source_sha256","configuration_sha256","stage","fitted_copula","correctly_specified","target_tau","n_time","seed","dataset_seed","attempted","success","converged","retained","stop_reason","failure_type","error","warnings","marginal_loglik","copula_loglik","joint_loglik","aic_joint","bic_joint","elapsed_sec","n_parameters","fitted_mu","fitted_sigma","mu_bias","sigma_bias","margin_param_rmse","mu_covered_95","sigma_covered_95","fitted_copula_tau","tau_abs_error","benchmark_mae","benchmark_rmse","benchmark_mean_bias","benchmark_mean_mae","benchmark_mean_rmse","benchmark_q90_mae","benchmark_neg_log_score","benchmark_upper_tail_error_90","benchmark_interval_coverage_95","benchmark_interval_width_95","benchmark_pit_ks_p_value","benchmark_pit_mean_abs_error","benchmark_tail_error_lower_05","benchmark_tail_error_upper_05","correct_joint_loglik","correct_copula_loglik","correct_tau_abs_error","correct_margin_param_rmse","correct_elapsed_sec","delta_joint_loglik_vs_correct","delta_copula_loglik_vs_correct","delta_tau_abs_error_vs_correct","delta_margin_rmse_vs_correct","delta_elapsed_sec_vs_correct"
"N","moderate",50,1,"gen-N__fit-N__tau-moderate__n-50__rep-001","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","N",TRUE,0.25,4,20971136,20971136,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-253.029125821291,7.95363806703324,-245.075487754258,496.150975508516,506.04592760816,6.58,3,2.12322976521132,0.432936976318502,0.123229765211323,-0.0670630236814981,0.0992043955158814,TRUE,FALSE,0.209092088647725,0.0409079113522751,0.697326622689197,0.895953340449148,0.123229765211323,0.123229765211323,0.123229765211323,0.0128978298223847,1.26514562910646,0.00183115709216009,0.94,3.5464403830727,0.824527899238341,0.00168969888800385,0.015,0.01,-245.075487754258,7.95363806703324,0.0409079113522751,0.0992043955158814,6.58,0,0,0,0,0
"N","moderate",50,1,"gen-N__fit-C__tau-moderate__n-50__rep-001","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","C",FALSE,0.25,4,20971143,20971136,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-253.048714127877,4.40085217366565,-248.647861954212,503.295723908423,513.190676008067,6.55,3,2.12932229992149,0.434490480020608,0.129322299921488,-0.0655095199793918,0.102507937411972,TRUE,FALSE,0.126959256014145,0.123040743985855,0.69781402546601,0.896034327716406,0.129322299921488,0.129322299921488,0.129322299921488,0.0270129485127164,1.26524357063939,0.00383957106895105,0.945,3.56898631087005,0.819769344516256,0.000130025539726408,0.015,0.01,-245.075487754258,7.95363806703324,0.0409079113522751,0.0992043955158814,6.58,-3.572374199954,-3.55278589336759,0.0821328326335799,0.00330354189609061,-0.0300000000000002
"C","moderate",50,1,"gen-C__fit-N__tau-moderate__n-50__rep-001","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","N",FALSE,0.25,4,20971236,20971243,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-264.930217373273,19.9527871088801,-244.977430264393,495.954860528786,505.84981262843,9.43,3,1.97763031960163,0.498002755292143,-0.0223696803983726,-0.00199724470785656,0.0158806735932138,TRUE,TRUE,0.299460024135021,0.0494600241350214,0.772600573311979,0.982656582150272,-0.0223696803983726,0.0223696803983726,0.0223696803983726,0.0426967572646437,1.32465108686637,-0.00528505883042951,0.95,3.78120388008492,0.986229665033074,0.00158988806437754,0.02,-0.02,-242.623507123851,22.4450939277502,0.00541891833680835,0.00490933332421468,11.93,-2.35392314054201,-2.4923068188701,0.044041105798213,0.0109713402689991,-2.5
"C","moderate",50,1,"gen-C__fit-C__tau-moderate__n-50__rep-001","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","C",TRUE,0.25,4,20971243,20971243,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-265.068601051601,22.4450939277502,-242.623507123851,491.247014247702,501.141966347347,11.93,3,1.99832116602732,0.493263188894687,-0.00167883397268032,-0.00673681110531266,0.00490933332421468,TRUE,TRUE,0.255418918336808,0.00541891833680835,0.775279262895474,0.982961175336327,-0.00167883397268032,0.00167883397268032,0.00167883397268032,0.0209923703713315,1.32534300525801,-0.00263476042363509,0.95,3.78581394818951,0.988512901587768,0.00501403185889587,0.02,-0.02,-242.623507123851,22.4450939277502,0.00541891833680835,0.00490933332421468,11.93,0,0,0,0,0
"N","high",50,1,"gen-N__fit-N__tau-high__n-50__rep-001","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","N",TRUE,0.55,4,20971137,20971137,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-286.247497131242,79.5545283051559,-206.692968826086,419.385937652171,429.280889751815,10.64,3,2.2423643556532,0.500258711897228,0.242364355653196,0.000258711897228037,0.171377577038297,TRUE,TRUE,0.597318847071755,0.0473188470717549,0.870979479595958,1.09425724292224,0.242364355653196,0.242364355653196,0.242364355653196,0.405579396640141,1.43123748565621,0.0550129701369216,0.945,4.3060249806388,0.432138296738047,0.0136800548438558,0.01,0,-206.692968826086,79.5545283051559,0.0473188470717549,0.171377577038297,10.64,0,0,0,0,0
"N","high",50,1,"gen-N__fit-C__tau-high__n-50__rep-001","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","C",FALSE,0.55,4,20971144,20971137,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-287.720221606144,63.5393397356471,-224.180881870497,454.361763740994,464.256715840638,10.27,3,2.34005457810676,0.517280995979233,0.340054578106758,0.0172809959792332,0.240765185308632,FALSE,TRUE,0.474584493383288,0.0754155066167122,0.89810115518073,1.10327084258089,0.340054578106758,0.340054578106758,0.340054578106758,0.622515185391835,1.43860110803072,0.084195870726861,0.97,4.64018021180788,0.0706524104572541,0.0327289915944609,0.01,-0.02,-206.692968826086,79.5545283051559,0.0473188470717549,0.171377577038297,10.64,-17.487913044411,-16.0151885695088,0.0280966595449573,0.069387608270335,-0.370000000000001
"C","high",50,1,"gen-C__fit-N__tau-high__n-50__rep-001","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","N",FALSE,0.55,4,20971237,20971244,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-257.733800901971,46.3235702088943,-211.410230693076,428.820461386153,438.715413485797,13.02,3,1.99304500998266,0.465007440320426,-0.00695499001733646,-0.0349925596795741,0.0252274762815249,TRUE,TRUE,0.459285436081195,0.0907145639188048,0.742169586698428,0.939120476863386,-0.00695499001733646,0.00695499001733646,0.00695499001733646,0.105978245872408,1.28866900450985,-0.0136447623276483,0.945,3.56724959097179,0.796672891983708,0.00765591928555909,-0.01,0.005,-194.591614244847,63.1045582609758,0.0651602664847455,0.024609016693318,10.69,-16.818616448229,-16.7809880520815,0.0255542974340593,0.000618459588206898,2.33
"C","high",50,1,"gen-C__fit-C__tau-high__n-50__rep-001","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","C",TRUE,0.55,4,20971244,20971244,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-257.696172505822,63.1045582609758,-194.591614244847,395.183228489693,405.078180589337,10.69,3,2.00046842567381,0.465200747384288,0.000468425673806561,-0.0347992526157118,0.024609016693318,TRUE,TRUE,0.484839733515255,0.0651602664847455,0.742911928267543,0.93895680440488,0.000468425673806561,0.000468425673806561,0.000468425673806561,0.0934070752181642,1.28848086252911,-0.0120686009506885,0.945,3.58197294788963,0.854839044766642,0.00551126404196989,-0.01,0.005,-194.591614244847,63.1045582609758,0.0651602664847455,0.024609016693318,10.69,0,0,0,0,0
"N","moderate",150,1,"gen-N__fit-N__tau-moderate__n-150__rep-001","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","N",TRUE,0.25,4,20972136,20972136,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-796.114431269041,39.0153862187897,-757.099045050251,1520.1980901005,1533.38887906615,7.3,3,2.04891687360802,0.482804963580741,0.0489168736080154,-0.0171950364192587,0.0366642182586932,TRUE,TRUE,0.261626212043916,0.0116262120439157,0.773316031663744,0.987204804926573,0.0489168736080154,0.0489168736080154,0.0489168736080154,0.0340744401328972,1.3268573854484,0.00442009749002292,0.956666666666667,3.8024604917284,0.887580591293097,0.00153210598561548,-0.00666666666666667,-0.00166666666666667,-757.099045050251,39.0153862187897,0.0116262120439157,0.0366642182586932,7.3,0,0,0,0,0
"N","moderate",150,1,"gen-N__fit-C__tau-moderate__n-150__rep-001","GA",2026.2,"0fa1a467e29948be41e17fb3fd417fa13f3f9795b76bbf7a60e56908c2a5a009","22d15cda7336c26b4873842d66c4b58eebcc4ec0b52e40b0e1efc76d2c746e67","bc7ab963a38fe68782c615956c83e07fcb6783d2a900d82a5b38971bb0c6add4","full","C",FALSE,0.25,4,20972143,20972136,TRUE,TRUE,TRUE,TRUE,"converged","none",NA,NA,-796.204306637521,28.1000379246225,-768.104268712899,1542.2085374258,1555.39932639145,8.06,3,2.06397303230225,0.486839790888611,0.0639730323022492,-0.0131602091113888,0.0461830053472059,TRUE,TRUE,0.190157455996761,0.0598425440032386,0.775388565555248,0.987273297195649,0.0639730323022492,0.0639730323022492,0.0639730323022492,0.0701367185429276,1.3270071777292,0.00911327398048112,0.96,3.86120699019882,0.725195482760941,0.00185076538384066,-0.00833333333333334,-0.005,-757.099045050251,39.0153862187897,0.0116262120439157,0.0366642182586932,7.3,-11.0052236626481,-10.9153482941672,0.0482163319593229,0.0095187870885127,0.760000000000001
