"generating_copula","tau_label","target_tau","n_subject","rep","n_candidates_expected","n_candidate_rows","n_candidates_attempted","n_candidates_usable","n_candidates_failed","all_candidates_present_once","selection_eligible","missing_candidates","duplicate_candidates","failed_candidates","failure_reasons","best_aic_copula","best_bic_copula","best_loglik_copula","aic_gap_to_runner_up","close_aic"
"C","high",0.55,50,1,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",33.63723289646,FALSE
"C","high",0.55,50,2,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",56.671459822012,FALSE
"C","high",0.55,50,3,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",18.741402457638,FALSE
"C","high",0.55,50,4,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",42.33420664937,FALSE
"C","high",0.55,50,5,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",24.202643699039,FALSE
"C","high",0.55,50,6,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",7.008178457989,FALSE
"C","high",0.55,50,7,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",50.721367561216,FALSE
"C","high",0.55,50,8,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",23.95677534982,FALSE
"C","high",0.55,50,9,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",53.473500471098,FALSE
"C","high",0.55,50,10,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",54.102646169692,FALSE
"C","high",0.55,50,11,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",14.486918798022,FALSE
"C","high",0.55,50,12,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",76.669299282359,FALSE
"C","high",0.55,50,13,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",42.2170725999781,FALSE
"C","high",0.55,50,14,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",60.641437235292,FALSE
"C","high",0.55,50,15,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",16.334254459063,FALSE
"C","high",0.55,50,16,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",53.149030225239,FALSE
"C","high",0.55,50,17,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",50.364251143288,FALSE
"C","high",0.55,50,18,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",17.23917414772,FALSE
"C","high",0.55,50,19,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",50.691846026797,FALSE
"C","high",0.55,50,20,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",48.900516876382,FALSE
"C","high",0.55,50,21,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",38.937081747201,FALSE
"C","high",0.55,50,22,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",52.618087508535,FALSE
"C","high",0.55,50,23,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",38.159025127517,FALSE
"C","high",0.55,50,24,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",41.113132285892,FALSE
"C","high",0.55,50,25,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",54.379157980828,FALSE
"C","high",0.55,50,26,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",51.657692538273,FALSE
"C","high",0.55,50,27,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",22.677166340569,FALSE
"C","high",0.55,50,28,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",16.254213979478,FALSE
"C","high",0.55,50,29,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",40.541859379983,FALSE
"C","high",0.55,50,30,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",37.364303440618,FALSE
"C","high",0.55,50,31,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",17.600390921892,FALSE
"C","high",0.55,50,32,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",43.513291921743,FALSE
"C","high",0.55,50,33,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",43.73226671619,FALSE
"C","high",0.55,50,34,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",39.798492938826,FALSE
"C","high",0.55,50,35,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",60.369222417083,FALSE
"C","high",0.55,50,36,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",39.704629001184,FALSE
"C","high",0.55,50,37,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",42.373570043445,FALSE
"C","high",0.55,50,38,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",36.223160010344,FALSE
"C","high",0.55,50,39,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",50.705353038846,FALSE
"C","high",0.55,50,40,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",55.144026511699,FALSE
"C","high",0.55,50,41,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",42.859876316497,FALSE
"C","high",0.55,50,42,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",9.05863556530301,FALSE
"C","high",0.55,50,43,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",34.337618296895,FALSE
"C","high",0.55,50,44,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",54.119521038965,FALSE
"C","high",0.55,50,45,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",5.52239698277799,FALSE
"C","high",0.55,50,46,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",35.693332227863,FALSE
"C","high",0.55,50,47,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",36.755916264802,FALSE
"C","high",0.55,50,48,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",49.405597480195,FALSE
