"generating_copula","tau_label","target_tau","n_subject","n_reps","n_attempted","n_selection_eligible","aic_n_correct","aic_correct_selection_rate","aic_correct_selection_mcse","aic_correct_selection_ci_lower","aic_correct_selection_ci_upper","bic_n_correct","bic_correct_selection_rate","bic_correct_selection_mcse","bic_correct_selection_ci_lower","bic_correct_selection_ci_upper","loglik_n_correct","loglik_correct_selection_rate","loglik_correct_selection_mcse","loglik_correct_selection_ci_lower","loglik_correct_selection_ci_upper","n_close_aic","close_aic_rate","close_aic_mcse","close_aic_ci_lower","close_aic_ci_upper","median_aic_gap_to_runner_up","median_aic_gap_bootstrap_se","median_aic_gap_ci_lower","median_aic_gap_ci_upper","median_aic_gap_bootstrap_reps","close_aic_threshold"
"C","high",0.55,50,100,100,100,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,0,0,0,0,0.0369934982069857,39.9891701759175,1.42421419066961,37.012737408796,42.5970414829335,2000,2
"C","high",0.55,150,100,100,100,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,0,0,0,0,0.0369934982069857,124.640918744095,3.82986650617687,115.57441221578,131.31241541508,2000,2
"C","high",0.55,500,100,100,100,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,0,0,0,0,0.0369934982069857,432.67865459133,5.25883825703112,423.92563286578,443.41386258527,2000,2
"C","moderate",0.25,50,100,100,100,90,0.9,0.03,0.825634338495086,0.944770862939325,90,0.9,0.03,0.825634338495086,0.944770862939325,90,0.9,0.03,0.825634338495086,0.944770862939325,14,0.14,0.0346987031457949,0.0852634365993913,0.221371882109638,6.96111927864649,0.702548225871119,5.98539732752602,8.57051683412274,2000,2
"C","moderate",0.25,150,100,100,100,99,0.99,0.0099498743710662,0.945513803821295,0.998232567935859,99,0.99,0.0099498743710662,0.945513803821295,0.998232567935859,99,0.99,0.0099498743710662,0.945513803821295,0.998232567935859,0,0,0,0,0.0369934982069857,25.1232995695649,1.74250919176575,22.52632115339,29.1045483649,2000,2
"C","moderate",0.25,500,100,100,100,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,0,0,0,0,0.0369934982069857,84.407311151765,2.48305585472561,81.8476987511303,91.8806518498,2000,2
"N","high",0.55,50,100,100,100,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,0,0,0,0,0.0369934982069857,29.335731400506,0.981241455878874,27.4453644280775,31.579447751494,2000,2
"N","high",0.55,150,100,100,100,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,0,0,0,0,0.0369934982069857,88.087063826375,2.0105113535079,83.48305428105,90.825827483985,2000,2
"N","high",0.55,500,100,100,100,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,0,0,0,0,0.0369934982069857,297.703269647215,4.40758022040062,292.61208868435,308.60672148045,2000,2
"N","moderate",0.25,50,100,100,100,86,0.86,0.0346987031457949,0.778628117890362,0.914736563400609,86,0.86,0.0346987031457949,0.778628117890362,0.914736563400609,86,0.86,0.0346987031457949,0.778628117890362,0.914736563400609,21,0.21,0.0407308237088326,0.141656540619153,0.299799688340899,6.06216356574652,0.525096976447814,4.42184503375495,6.81355885718597,2000,2
"N","moderate",0.25,150,100,100,100,98,0.98,0.014,0.929988209271456,0.994498032449838,98,0.98,0.014,0.929988209271456,0.994498032449838,98,0.98,0.014,0.929988209271456,0.994498032449838,1,0.01,0.0099498743710662,0.00176743206414064,0.0544861961787053,19.125484450375,0.868513994678839,17.8410462702922,20.7983106837551,2000,2
"N","moderate",0.25,500,100,100,100,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,100,1,0,0.963006501793014,1,0,0,0,0,0.0369934982069857,65.3400584537153,2.00230518313109,61.4935319262399,69.3556468395583,2000,2
