"generator","scenario","correlation","correlation_level","n_time","family","gamlss_family","rep","seed","method","success","fit_success","sandwich_success","elapsed_sec","fit_elapsed_sec","sandwich_elapsed_sec","error","warning"
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",1,20260613,"rs_joint_sandwich",TRUE,TRUE,TRUE,4.64569687843323,3.64977788925171,0.995918989181519,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",2,20260614,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.28508996963501,1.58935189247131,0.695738077163696,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",3,20260615,"rs_joint_sandwich",TRUE,TRUE,TRUE,3.06263518333435,2.16617107391357,0.896464109420776,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",4,20260616,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.01449990272522,1.3917088508606,0.622791051864624,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",5,20260617,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.82277679443359,2.20883893966675,0.613937854766846,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",6,20260618,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.39404392242432,1.82061409950256,0.573429822921753,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",7,20260619,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.33044624328613,1.7101731300354,0.620273113250732,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",8,20260620,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.06625986099243,1.54263091087341,0.523628950119019,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",9,20260621,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.54465675354004,1.9182288646698,0.626427888870239,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",10,20260622,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.13636374473572,1.533686876297,0.602676868438721,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",11,20260623,"rs_joint_sandwich",TRUE,TRUE,TRUE,3.13195419311523,2.64698505401611,0.484969139099121,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",12,20260624,"rs_joint_sandwich",TRUE,TRUE,TRUE,3.50186991691589,3.01762795448303,0.484241962432861,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",13,20260625,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.55144095420837,2.10718703269958,0.444253921508789,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",14,20260626,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.60697484016418,2.05661392211914,0.550360918045044,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",15,20260627,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.71873712539673,2.22806596755981,0.490671157836914,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",16,20260628,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.92643117904663,2.38267111778259,0.543760061264038,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",17,20260629,"rs_joint_sandwich",TRUE,TRUE,TRUE,1.86925506591797,1.3764910697937,0.492763996124268,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",18,20260630,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.82172918319702,2.37938022613525,0.442348957061768,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",19,20260631,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.61814904212952,2.02778506278992,0.5903639793396,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gaussian","NO",20,20260632,"rs_joint_sandwich",TRUE,TRUE,TRUE,2.00787472724915,1.51964092254639,0.488233804702759,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gamma","GA",1,20260633,"rs_joint_sandwich",TRUE,TRUE,TRUE,3.74281406402588,3.12106513977051,0.621748924255371,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gamma","GA",2,20260634,"rs_joint_sandwich",TRUE,TRUE,TRUE,3.34068512916565,2.80610299110413,0.534582138061523,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gamma","GA",3,20260635,"rs_joint_sandwich",TRUE,TRUE,TRUE,3.43518805503845,2.86885809898376,0.566329956054688,,""
"external","external_exchangeable_moderate_t20","exchangeable","moderate",20,"gamma","GA",4,20260636,"rs_joint_sandwich",TRUE,TRUE,TRUE,3.97995495796204,3.31162285804749,0.668332099914551,,""
