"Level","Metric","AR(1) gamlss.long","AR(1) robust","AR(1) exch.","AR(1) AR(1)","AR(1) unstr.","AR(1) glm","Exchangeable gamlss.long","Exchangeable robust","Exchangeable exch.","Exchangeable AR(1)","Exchangeable unstr.","Exchangeable glm"
"Moderate","Mean RMSE (lower is better)","0.042","0.042","0.042","0.041","0.045","0.042","0.070","0.070","0.070","0.073","0.081","0.070"
"High","Mean RMSE (lower is better)","0.058","0.058","0.064","0.061","0.075","0.064","0.093","0.093","0.095","0.100","0.147","0.095"
"Moderate","Slope SE ratio (target: 1.0)","1.057","1.049","1.042","1.065","2.031","0.638","0.522","1.013","1.012","1.029","0.780","0.358"
"High","Slope SE ratio (target: 1.0)","1.018","1.057","1.047","1.089","1.000","0.445","0.561","0.970","0.946","0.925","1.418","0.264"
"Moderate","Slope coverage (target: 0.95)","0.950","0.983","0.967","0.967","0.933","0.767","0.700","0.933","0.933","0.933","0.833","0.483"
"High","Slope coverage (target: 0.95)","0.983","1.000","0.983","1.000","0.832","0.550","0.683","0.933","0.950","0.933","0.912","0.383"
"Moderate","Tau MAE","0.005","0.005","0.081","0.015","0.054","--","0.248","0.248","0.050","0.172","0.072","--"
"High","Tau MAE","0.010","0.010","0.142","0.036","0.068","--","0.376","0.376","0.075","0.145","0.106","--"
"Moderate","Tau RMSE","0.007","0.007","0.117","0.022","0.068","--","0.263","0.263","0.050","0.200","0.085","--"
"High","Tau RMSE","0.011","0.011","0.181","0.040","0.087","--","0.411","0.411","0.075","0.174","0.120","--"
