"Scenario","Metric","gamlss.long T=20","robust T=20","exch. T=20","AR(1) T=20","unstr. T=20","glm T=20"
"TIME-COR","Mean RMSE (lower is better)","0.058","0.058","0.066","0.064","0.072","0.066"
"TIME-COR","Slope SE ratio (target: 1.0)","1.057","1.097","1.064","1.049","0.806","0.487"
"TIME-COR","Slope coverage (target: 0.95)","0.950","0.967","1.000","0.967","0.949","0.583"
"TIME-COR","Tau MAE","0.009","0.009","0.141","0.062","0.061","--"
"TIME-COR","Tau RMSE","0.012","0.012","0.185","0.090","0.079","--"
"COV-COR","Mean RMSE (lower is better)","0.062","0.062","0.067","0.062","0.079","0.067"
"COV-COR","Slope SE ratio (target: 1.0)","1.006","1.065","1.071","1.167","0.841","0.454"
"COV-COR","Slope coverage (target: 0.95)","0.950","0.983","0.983","0.983","0.880","0.650"
"COV-COR","Tau MAE","0.011","0.011","0.145","0.067","0.086","--"
"COV-COR","Tau RMSE","0.015","0.015","0.185","0.088","0.110","--"
