"scenario_id","attempt_id","execution_order","seed","model_class","family","copula","changed_factor","n_subjects","n_visits","smooth_k","n_observations","attempted","warmup","fit_returned","converged","retained","elapsed_sec","fit_elapsed_sec","simulation_elapsed_sec","setup_elapsed_sec","total_elapsed_sec","timing_scope","exclusion_reason","failure_reason","warning_count","warning_messages","error_message","checkpoint_schema_version","design_fingerprint","configuration_fingerprint","code_fingerprint","package_fingerprint","timing_environment_fingerprint","seed_scheme_version","base_seed","checkpoint_fingerprint","timing_git_sha","timing_git_dirty","timing_r_version","timing_platform","timing_os","timing_cpu_model","timing_execution_context","timing_dependency_versions"
"continuous-subjects",0,1,13040884,"continuous","NO","N","n_subjects",250,4,5,1000,TRUE,TRUE,TRUE,TRUE,FALSE,2.47,2.47,0.97,0,3.44,"fit_only","warmup","none",0,"",,3,"3d9dbdbc9e18eed28d48bff56e934da9ad275c0721b3a34da978270ed9d6078a","66c45aca4c6364aa9f4aef2ff55620d81066a6e52c6244ce9c79080a3c702ccd","83d3ba28f026f0da30222a6eaaf2e4ebff3c34671fc223f6b548bc2258f15f05","f526e1de16f5ea19e66cbae9174dc234f9abac79e7336c0bf327852e4e4b6035","d1d25888250d2abea0ebd9f495f7ff7775a959400ee52189bc87ffcf003eb797","scenario-key-v1",20260528,"94ad1cdabf4ca3f8ab36f997b8497ca632f225a35a4cf2f154dbd9915d1f66f0","652ed1b3e77dee5925b0a015f16b96dcc25f2d77","dirty","R version 4.4.1 (2024-06-14 ucrt)","x86_64-w64-mingw32","Windows 10 x64 x86-64","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","standalone_or_unverified","gamlss.longitudinal=0.1.0;gamlss=5.4.22;gamlss.dist=6.1.1;mgcv=1.9.1;digest=0.6.36"
"continuous-base",0,2,1638171116,"continuous","NO","N","none",100,4,5,400,TRUE,TRUE,TRUE,TRUE,FALSE,0.889999999999999,0.889999999999999,0.41,0,1.3,"fit_only","warmup","none",0,"",,3,"3d9dbdbc9e18eed28d48bff56e934da9ad275c0721b3a34da978270ed9d6078a","66c45aca4c6364aa9f4aef2ff55620d81066a6e52c6244ce9c79080a3c702ccd","83d3ba28f026f0da30222a6eaaf2e4ebff3c34671fc223f6b548bc2258f15f05","f526e1de16f5ea19e66cbae9174dc234f9abac79e7336c0bf327852e4e4b6035","d1d25888250d2abea0ebd9f495f7ff7775a959400ee52189bc87ffcf003eb797","scenario-key-v1",20260528,"94ad1cdabf4ca3f8ab36f997b8497ca632f225a35a4cf2f154dbd9915d1f66f0","652ed1b3e77dee5925b0a015f16b96dcc25f2d77","dirty","R version 4.4.1 (2024-06-14 ucrt)","x86_64-w64-mingw32","Windows 10 x64 x86-64","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","standalone_or_unverified","gamlss.longitudinal=0.1.0;gamlss=5.4.22;gamlss.dist=6.1.1;mgcv=1.9.1;digest=0.6.36"
"discrete-smooth_basis",0,3,1743393778,"discrete","NBI","C","smooth_k",100,4,10,400,TRUE,TRUE,TRUE,TRUE,FALSE,4.23,4.23,0.479999999999999,0,4.71,"fit_only","warmup","none",0,"",,3,"3d9dbdbc9e18eed28d48bff56e934da9ad275c0721b3a34da978270ed9d6078a","66c45aca4c6364aa9f4aef2ff55620d81066a6e52c6244ce9c79080a3c702ccd","83d3ba28f026f0da30222a6eaaf2e4ebff3c34671fc223f6b548bc2258f15f05","f526e1de16f5ea19e66cbae9174dc234f9abac79e7336c0bf327852e4e4b6035","d1d25888250d2abea0ebd9f495f7ff7775a959400ee52189bc87ffcf003eb797","scenario-key-v1",20260528,"94ad1cdabf4ca3f8ab36f997b8497ca632f225a35a4cf2f154dbd9915d1f66f0","652ed1b3e77dee5925b0a015f16b96dcc25f2d77","dirty","R version 4.4.1 (2024-06-14 ucrt)","x86_64-w64-mingw32","Windows 10 x64 x86-64","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","standalone_or_unverified","gamlss.longitudinal=0.1.0;gamlss=5.4.22;gamlss.dist=6.1.1;mgcv=1.9.1;digest=0.6.36"
"continuous-visits",0,4,1872435287,"continuous","NO","N","n_visits",100,8,5,800,TRUE,TRUE,TRUE,TRUE,FALSE,1.46,1.46,1.25,0,2.71,"fit_only","warmup","none",0,"",,3,"3d9dbdbc9e18eed28d48bff56e934da9ad275c0721b3a34da978270ed9d6078a","66c45aca4c6364aa9f4aef2ff55620d81066a6e52c6244ce9c79080a3c702ccd","83d3ba28f026f0da30222a6eaaf2e4ebff3c34671fc223f6b548bc2258f15f05","f526e1de16f5ea19e66cbae9174dc234f9abac79e7336c0bf327852e4e4b6035","d1d25888250d2abea0ebd9f495f7ff7775a959400ee52189bc87ffcf003eb797","scenario-key-v1",20260528,"94ad1cdabf4ca3f8ab36f997b8497ca632f225a35a4cf2f154dbd9915d1f66f0","652ed1b3e77dee5925b0a015f16b96dcc25f2d77","dirty","R version 4.4.1 (2024-06-14 ucrt)","x86_64-w64-mingw32","Windows 10 x64 x86-64","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","standalone_or_unverified","gamlss.longitudinal=0.1.0;gamlss=5.4.22;gamlss.dist=6.1.1;mgcv=1.9.1;digest=0.6.36"
"discrete-base",0,5,1901836574,"discrete","NBI","C","none",100,4,5,400,TRUE,TRUE,TRUE,TRUE,FALSE,2.22,2.22,0.5,0.00999999999999801,2.73,"fit_only","warmup","none",0,"",,3,"3d9dbdbc9e18eed28d48bff56e934da9ad275c0721b3a34da978270ed9d6078a","66c45aca4c6364aa9f4aef2ff55620d81066a6e52c6244ce9c79080a3c702ccd","83d3ba28f026f0da30222a6eaaf2e4ebff3c34671fc223f6b548bc2258f15f05","f526e1de16f5ea19e66cbae9174dc234f9abac79e7336c0bf327852e4e4b6035","d1d25888250d2abea0ebd9f495f7ff7775a959400ee52189bc87ffcf003eb797","scenario-key-v1",20260528,"94ad1cdabf4ca3f8ab36f997b8497ca632f225a35a4cf2f154dbd9915d1f66f0","652ed1b3e77dee5925b0a015f16b96dcc25f2d77","dirty","R version 4.4.1 (2024-06-14 ucrt)","x86_64-w64-mingw32","Windows 10 x64 x86-64","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","standalone_or_unverified","gamlss.longitudinal=0.1.0;gamlss=5.4.22;gamlss.dist=6.1.1;mgcv=1.9.1;digest=0.6.36"
"discrete-visits",0,6,1887317903,"discrete","NBI","C","n_visits",100,8,5,800,TRUE,TRUE,TRUE,TRUE,FALSE,10.75,10.75,1.4,0,12.15,"fit_only","warmup","none",0,"",,3,"3d9dbdbc9e18eed28d48bff56e934da9ad275c0721b3a34da978270ed9d6078a","66c45aca4c6364aa9f4aef2ff55620d81066a6e52c6244ce9c79080a3c702ccd","83d3ba28f026f0da30222a6eaaf2e4ebff3c34671fc223f6b548bc2258f15f05","f526e1de16f5ea19e66cbae9174dc234f9abac79e7336c0bf327852e4e4b6035","d1d25888250d2abea0ebd9f495f7ff7775a959400ee52189bc87ffcf003eb797","scenario-key-v1",20260528,"94ad1cdabf4ca3f8ab36f997b8497ca632f225a35a4cf2f154dbd9915d1f66f0","652ed1b3e77dee5925b0a015f16b96dcc25f2d77","dirty","R version 4.4.1 (2024-06-14 ucrt)","x86_64-w64-mingw32","Windows 10 x64 x86-64","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","standalone_or_unverified","gamlss.longitudinal=0.1.0;gamlss=5.4.22;gamlss.dist=6.1.1;mgcv=1.9.1;digest=0.6.36"
"discrete-subjects",0,7,2010543832,"discrete","NBI","C","n_subjects",250,4,5,1000,TRUE,TRUE,TRUE,TRUE,FALSE,8.36,8.36,1.33,0,9.69,"fit_only","warmup","none",0,"",,3,"3d9dbdbc9e18eed28d48bff56e934da9ad275c0721b3a34da978270ed9d6078a","66c45aca4c6364aa9f4aef2ff55620d81066a6e52c6244ce9c79080a3c702ccd","83d3ba28f026f0da30222a6eaaf2e4ebff3c34671fc223f6b548bc2258f15f05","f526e1de16f5ea19e66cbae9174dc234f9abac79e7336c0bf327852e4e4b6035","d1d25888250d2abea0ebd9f495f7ff7775a959400ee52189bc87ffcf003eb797","scenario-key-v1",20260528,"94ad1cdabf4ca3f8ab36f997b8497ca632f225a35a4cf2f154dbd9915d1f66f0","652ed1b3e77dee5925b0a015f16b96dcc25f2d77","dirty","R version 4.4.1 (2024-06-14 ucrt)","x86_64-w64-mingw32","Windows 10 x64 x86-64","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","standalone_or_unverified","gamlss.longitudinal=0.1.0;gamlss=5.4.22;gamlss.dist=6.1.1;mgcv=1.9.1;digest=0.6.36"
"continuous-smooth_basis",0,8,1411427626,"continuous","NO","N","smooth_k",100,4,10,400,TRUE,TRUE,TRUE,TRUE,FALSE,1.24,1.24,0.420000000000002,0,1.66,"fit_only","warmup","none",0,"",,3,"3d9dbdbc9e18eed28d48bff56e934da9ad275c0721b3a34da978270ed9d6078a","66c45aca4c6364aa9f4aef2ff55620d81066a6e52c6244ce9c79080a3c702ccd","83d3ba28f026f0da30222a6eaaf2e4ebff3c34671fc223f6b548bc2258f15f05","f526e1de16f5ea19e66cbae9174dc234f9abac79e7336c0bf327852e4e4b6035","d1d25888250d2abea0ebd9f495f7ff7775a959400ee52189bc87ffcf003eb797","scenario-key-v1",20260528,"94ad1cdabf4ca3f8ab36f997b8497ca632f225a35a4cf2f154dbd9915d1f66f0","652ed1b3e77dee5925b0a015f16b96dcc25f2d77","dirty","R version 4.4.1 (2024-06-14 ucrt)","x86_64-w64-mingw32","Windows 10 x64 x86-64","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","standalone_or_unverified","gamlss.longitudinal=0.1.0;gamlss=5.4.22;gamlss.dist=6.1.1;mgcv=1.9.1;digest=0.6.36"
"discrete-base",1,9,1080095188,"discrete","NBI","C","none",100,4,5,400,TRUE,FALSE,TRUE,TRUE,TRUE,4.36,4.36,0.520000000000003,0,4.88,"fit_only","none","none",0,"",,3,"3d9dbdbc9e18eed28d48bff56e934da9ad275c0721b3a34da978270ed9d6078a","66c45aca4c6364aa9f4aef2ff55620d81066a6e52c6244ce9c79080a3c702ccd","83d3ba28f026f0da30222a6eaaf2e4ebff3c34671fc223f6b548bc2258f15f05","f526e1de16f5ea19e66cbae9174dc234f9abac79e7336c0bf327852e4e4b6035","d1d25888250d2abea0ebd9f495f7ff7775a959400ee52189bc87ffcf003eb797","scenario-key-v1",20260528,"94ad1cdabf4ca3f8ab36f997b8497ca632f225a35a4cf2f154dbd9915d1f66f0","652ed1b3e77dee5925b0a015f16b96dcc25f2d77","dirty","R version 4.4.1 (2024-06-14 ucrt)","x86_64-w64-mingw32","Windows 10 x64 x86-64","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","standalone_or_unverified","gamlss.longitudinal=0.1.0;gamlss=5.4.22;gamlss.dist=6.1.1;mgcv=1.9.1;digest=0.6.36"
"continuous-visits",1,10,428611501,"continuous","NO","N","n_visits",100,8,5,800,TRUE,FALSE,TRUE,TRUE,TRUE,3.21,3.21,1.05,0,4.26000000000001,"fit_only","none","none",0,"",,3,"3d9dbdbc9e18eed28d48bff56e934da9ad275c0721b3a34da978270ed9d6078a","66c45aca4c6364aa9f4aef2ff55620d81066a6e52c6244ce9c79080a3c702ccd","83d3ba28f026f0da30222a6eaaf2e4ebff3c34671fc223f6b548bc2258f15f05","f526e1de16f5ea19e66cbae9174dc234f9abac79e7336c0bf327852e4e4b6035","d1d25888250d2abea0ebd9f495f7ff7775a959400ee52189bc87ffcf003eb797","scenario-key-v1",20260528,"94ad1cdabf4ca3f8ab36f997b8497ca632f225a35a4cf2f154dbd9915d1f66f0","652ed1b3e77dee5925b0a015f16b96dcc25f2d77","dirty","R version 4.4.1 (2024-06-14 ucrt)","x86_64-w64-mingw32","Windows 10 x64 x86-64","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","standalone_or_unverified","gamlss.longitudinal=0.1.0;gamlss=5.4.22;gamlss.dist=6.1.1;mgcv=1.9.1;digest=0.6.36"
