"case_id","hypothesis_role","joint_review_rep","family","copula","design","n","time_points","n_subject","n_time","total_observations","mu_strength","sigma_strength","theta_strength","time_shape","dependence","missingness","start_mode","rs_joint_success","rs_separate_success","delta_joint_loglik","delta_copula_loglik","delta_marginal_loglik","delta_elapsed_sec","delta_train_joint_loglik","delta_train_copula_loglik","delta_train_marginal_loglik","delta_train_rmse_mu","delta_train_rmse_sigma","delta_train_rmse_theta","delta_train_rmse_tau","delta_test_joint_log_score","delta_test_log_score_per_obs","delta_test_marginal_log_score","delta_test_copula_log_score","delta_heldout_variogram_score_p05","delta_heldout_variogram_score_p2","delta_benchmark_mean_rmse","delta_benchmark_neg_log_score","delta_benchmark_variogram_score_p05","delta_benchmark_variogram_score_p2","delta_benchmark_theta_time_abs_error"
"JVS01","theta_off_control_ga",1,"GA","N","seven_case",40,75,40,75,3000,0,0.375,0,"sigmoid","case_specific","none","default",TRUE,TRUE,0.00490649491985096,0.00714670024439812,-0.00224020533005387,0.5,0.00490649491985096,0.00714670024439812,-0.00224020533005387,0.0001894951933183,-2.36902704896999e-05,0.000203845288274603,0.000131536413510297,0.0807384197601095,2.69128065860658e-05,0.0247143541801051,0.0560240655795994,-1.09710790029897,-15.4143091855499,0.0001894951933183,-2.69128065860658e-05,-1.09710790029897,-15.4143091855499,0.000131536413510297
"JVS01","theta_off_control_ga",2,"GA","N","seven_case",40,75,40,75,3000,0,0.375,0,"sigmoid","case_specific","none","default",TRUE,TRUE,0.0214188613103943,0.0426280506255949,-0.0212091893099569,0.46000000000009,0.0214188613103943,0.0426280506255949,-0.0212091893099569,-0.0011802661441953,1.77777999725987e-05,0.000315644340687,0.0002040105087752,0.188412125190098,6.28040417329778e-05,0.303649785420021,-0.115237660227699,0.806735432034998,5.18356882045009,-0.0011802661441953,-6.28040417329778e-05,0.806735432034998,5.18356882045009,0.0002040105087752
"JVS01","theta_off_control_ga",3,"GA","N","seven_case",40,75,40,75,3000,0,0.375,0,"sigmoid","case_specific","none","default",TRUE,TRUE,0.0249356747303864,0.049890937106305,-0.0249552623699856,0.59000000000004,0.0249356747303864,0.049890937106305,-0.0249552623699856,0.00149573307691312,-9.28997437300155e-07,0.0004121960383629,0.000268000441033298,-0.622916977309615,-0.000207638992434922,-0.791148403569878,0.168231426269998,0.326260916604042,1.61741847210988,0.00149573307691312,0.000207638992434922,0.326260916604042,1.61741847210988,0.000268000441033298
"JVS01","theta_off_control_ga",4,"GA","N","seven_case",40,75,40,75,3000,0,0.375,0,"sigmoid","case_specific","none","default",TRUE,TRUE,0.00580405800019435,0.00794542049000313,-0.00214136249041985,0.17000000000008,0.00580405800019435,0.00794542049000313,-0.00214136249041985,-0.000503794814135199,2.91792413001993e-05,0.0001069797408489,6.94869914125984e-05,-0.197525118850081,-6.58417062839867e-05,-0.205405697249716,0.00788057839879741,0.966725464534989,8.07207289021017,-0.000503794814135199,6.58417062839867e-05,0.966725464534989,8.07207289021017,6.94869914125984e-05
"JVS01","theta_off_control_ga",5,"GA","N","seven_case",40,75,40,75,3000,0,0.375,0,"sigmoid","case_specific","none","default",TRUE,TRUE,0.00128183549986716,0.00142582454310514,-0.000143989039770531,0.5300000000002,0.00128183549986716,0.00142582454310514,-0.000143989039770531,-8.40171039390991e-05,1.03019605047008e-05,0.000145626817609705,9.52134167898008e-05,-0.0536641989597229,-1.7888066319971e-05,-0.0454974410899922,-0.00816675787179832,1.66757029890698,10.6365812535496,-8.40171039390991e-05,1.7888066319971e-05,1.66757029890698,10.6365812535496,9.52134167898008e-05
"JVS01","theta_off_control_ga",6,"GA","N","seven_case",40,75,40,75,3000,0,0.375,0,"sigmoid","case_specific","none","default",TRUE,TRUE,0.0122399308002059,0.0207459746430985,-0.00850604385004772,0.86999999999989,0.0122399308002059,0.0207459746430985,-0.00850604385004772,-7.22183567337994e-05,5.64965693129992e-05,0.000173408511619504,0.000111583821336601,-0.280342964390002,-9.34476547990171e-05,-0.292973793019883,0.0126308286289003,-0.568087780946996,-7.04030917028012,-7.22183567337994e-05,9.34476547990171e-05,-0.568087780946996,-7.04030917028012,0.000111583821336601
"JVS01","theta_off_control_ga",7,"GA","N","seven_case",40,75,40,75,3000,0,0.375,0,"sigmoid","case_specific","none","default",TRUE,TRUE,0.00227646222037947,0.00259763530180379,-0.00032117308001034,0.61000000000012,0.00227646222037947,0.00259763530180379,-0.00032117308001034,1.0015472286299e-05,2.7430151532698e-05,0.0001210578013204,7.81888979031996e-05,-0.0697451526098121,-2.32483842040887e-05,-0.068183078560196,-0.00156207405239428,-0.20476509707197,-2.23375019039031,1.0015472286299e-05,2.32483842040887e-05,-0.20476509707197,-2.23375019039031,7.81888979031996e-05
"JVS01","theta_off_control_ga",8,"GA","N","seven_case",40,75,40,75,3000,0,0.375,0,"sigmoid","case_specific","none","default",TRUE,TRUE,0.00259857294031463,0.00321194527680291,-0.000613372330008133,-0.0300000000002001,0.00259857294031463,0.00321194527680291,-0.000613372330008133,1.01216549929992e-06,4.07102141492012e-05,6.33059539373974e-05,4.08399258938971e-05,-0.136446848130163,-4.54822827080648e-05,-0.147963961359892,0.0115171132413039,1.04399306551198,11.1893865632296,1.01216549929992e-06,4.54822827080648e-05,1.04399306551198,11.1893865632296,4.08399258938971e-05
"JVS01","theta_off_control_ga",9,"GA","N","seven_case",40,75,40,75,3000,0,0.375,0,"sigmoid","case_specific","none","default",TRUE,TRUE,0.00190500612006872,0.00189789252880246,7.11358961780206e-06,0.30999999999995,0.00190500612006872,0.00189789252880246,7.11358961780206e-06,-6.01829499215986e-05,3.43783602528014e-05,0.000152294478277498,9.92212014568998e-05,-0.171453019429919,-5.71510064739655e-05,-0.197460518289972,0.0260074988621994,-0.584175554603974,-1.67689178813998,-6.01829499215986e-05,5.71510064739655e-05,-0.584175554603974,-1.67689178813998,9.92212014568998e-05
"JVS01","theta_off_control_ga",10,"GA","N","seven_case",40,75,40,75,3000,0,0.375,0,"sigmoid","case_specific","none","default",TRUE,TRUE,0.00180405777018677,0.00216103061450212,-0.000356972840108938,0.13999999999941,0.00180405777018677,0.00216103061450212,-0.000356972840108938,-0.000252969608522901,-1.10526975752e-05,2.96583232600039e-06,1.97779900971973e-06,0.0653640512400671,2.17880170789719e-05,0.074888990240197,-0.00952493900329898,0.553828594811989,-6.1625692338298,-0.000252969608522901,-2.17880170789719e-05,0.553828594811989,-6.1625692338298,1.97779900971973e-06
"JVS01","theta_off_control_ga",11,"GA","N","seven_case",40,75,40,75,3000,0,0.375,0,"sigmoid","case_specific","none","default",TRUE,TRUE,0.0012689555696852,0.00204761928730335,-0.000778663719756878,0.40999999999985,0.0012689555696852,0.00204761928730335,-0.000778663719756878,-7.41639426817993e-05,-1.59812887903996e-05,9.94917255320027e-05,6.42604925469997e-05,0.101008766290306,3.36695887630523e-05,0.119783523759907,-0.0187747574721016,-0.24639956928803,-3.80715270614974,-7.41639426817993e-05,-3.36695887630523e-05,-0.24639956928803,-3.80715270614974,6.42604925469997e-05
"JVS01","theta_off_control_ga",12,"GA","N","seven_case",40,75,40,75,3000,0,0.375,0,"sigmoid","case_specific","none","default",TRUE,TRUE,0.0370178643697727,0.0765074899717959,-0.0394896256098036,0.44000000000051,0.0370178643697727,0.0765074899717959,-0.0394896256098036,0.0019870310526811,1.62040476054982e-05,0.000199777930273502,0.000128302825073697,-0.624812474829923,-0.000208270824945012,-0.675050065899995,0.0502375910722961,-0.459173580157994,-8.48204632800025,0.0019870310526811,0.000208270824945012,-0.459173580157994,-8.48204632800025,0.000128302825073697
"JVS02","weak_dependence_ga",1,"GA","N","seven_case",40,75,40,75,3000,0,0.375,1.5,"sigmoid","case_specific","none","default",TRUE,TRUE,1.06491177145017,2.56645808505903,-1.50154631361011,2.46,1.06491177145017,2.56645808505903,-1.50154631361011,-0.0048603117115161,0.000226610836055199,0.00336052529910197,0.00251054608244999,-2.90398322110968,-0.000967994407037986,-3.09236354051018,0.188380319392024,-1.52807414488996,-17.1881092612198,-0.0048603117115161,0.000967994407037986,-1.52807414488996,-17.1881092612198,0.00251054608244999
"JVS02","weak_dependence_ga",2,"GA","N","seven_case",40,75,40,75,3000,0,0.375,1.5,"sigmoid","case_specific","none","default",TRUE,TRUE,1.89165213055003,4.92561512388397,-3.03396299333008,2.49000000000001,1.89165213055003,4.92561512388397,-3.03396299333008,-0.0108441904379148,0.0012111361775425,0.00022245393593201,0.000182238898872006,-1.39294366544004,-0.00046431455514595,4.09797126110016,-5.49091492654003,-0.429126215202984,3.08705176108015,-0.0108441904379148,0.00046431455514595,-0.429126215202984,3.08705176108015,0.000182238898872006
"JVS02","weak_dependence_ga",3,"GA","N","seven_case",40,75,40,75,3000,0,0.375,1.5,"sigmoid","case_specific","none","default",TRUE,TRUE,1.52221420268006,3.85015156024002,-2.32793735756013,3.76999999999999,1.52221420268006,3.85015156024002,-2.32793735756013,-0.007267436470383,0.0011862150613733,0.00783879882205901,0.00603074845011903,-2.27285784539004,-0.000757619281795963,-0.528120080350163,-1.744737765038,-2.68229917560797,-6.11817216246982,-0.007267436470383,0.000757619281795963,-2.68229917560797,-6.11817216246982,0.00603074845011903
"JVS02","weak_dependence_ga",4,"GA","N","seven_case",40,75,40,75,3000,0,0.375,1.5,"sigmoid","case_specific","none","default",TRUE,TRUE,2.61155982526998,6.54862668824398,-3.93706686297992,4.15999999999985,2.61155982526998,6.54862668824398,-3.93706686297992,-0.0120375301633643,0.0013669056030275,0.00776058351728198,0.00584738349184799,-10.7826730796,-0.003594224359867,-9.9287520920102,-0.853920987597007,-0.201178861876997,-12.7355982091303,-0.0120375301633643,0.003594224359867,-0.201178861876997,-12.7355982091303,0.00584738349184799
"JVS02","weak_dependence_ga",5,"GA","N","seven_case",40,75,40,75,3000,0,0.375,1.5,"sigmoid","case_specific","none","default",TRUE,TRUE,0.769390122449977,1.67838186080098,-0.908991738349869,2.98999999999978,0.769390122449977,1.67838186080098,-0.908991738349869,0.0029522566765251,0.000217873563703803,0.00218843653321799,0.00184996369934898,0.856443633609615,0.000285481211199978,-0.881821315090292,1.7382649486929,-1.39937034180997,-5.80183839696019,0.0029522566765251,-0.000285481211199978,-1.39937034180997,-5.80183839696019,0.00184996369934898
"JVS02","weak_dependence_ga",6,"GA","N","seven_case",40,75,40,75,3000,0,0.375,1.5,"sigmoid","case_specific","none","default",TRUE,TRUE,1.25443152667003,3.03504243236102,-1.78061090570009,5.26999999999995,1.25443152667003,3.03504243236102,-1.78061090570009,-0.0066088933554441,0.000889467530818897,0.00425879998492495,0.00356563224310696,-1.63299129332017,-0.000544330431105022,2.82531573995038,-4.4583070332617,2.31410916485402,14.9925258342801,-0.0066088933554441,0.000544330431105022,2.31410916485402,14.9925258342801,0.00356563224310696
