"profile","case_id","hypothesis_role","method","family","copula","design","n_subject","n_time","total_observations","mu_strength","sigma_strength","theta_strength","time_shape","n","success_rate","convergence_rate","median_elapsed_sec","mean_train_joint_loglik","mean_test_log_score_per_obs","mean_heldout_variogram_score_p05","mean_heldout_variogram_score_p2","mean_train_rmse_theta","mean_train_rmse_tau","mean_benchmark_neg_log_score","mean_benchmark_variogram_score_p05","mean_benchmark_variogram_score_p2","mean_benchmark_mean_rmse","selected_review_cases"
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS01","theta_off_control_nbi","rs_joint","NBI","N","seven_case",20,20,400,0,0.375,0,"sigmoid",100,1,1,47.5800000000017,-895.558327341136,-2.28233476183432,228.06718872136,167751.982153,0.102295598364574,0.0663248534200125,2.28233476183432,228.06718872136,167751.982153,0.288103568878842,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS01","theta_off_control_nbi","rs_joint_minus_rs_separate","NBI","N","seven_case",20,20,400,0,0.375,0,"sigmoid",100,1,NA,9.62499999998545,0.0650910262465845,-0.000529027951959513,-0.0543313461165204,-85.3561333999994,0.00228196675099021,0.00149136405431384,0.000529027951959513,-0.0543313461165204,-85.3561333999994,0.00134581772674331,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS01","theta_off_control_nbi","rs_separate","NBI","N","seven_case",20,20,400,0,0.375,0,"sigmoid",100,1,1,37.7050000000163,-895.623418367383,-2.28180573388236,228.121520067476,167837.3382864,0.100013631613584,0.0648334893656986,2.28180573388236,228.121520067476,167837.3382864,0.286757751152099,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS02","weak_dependence_nbi","rs_joint","NBI","N","seven_case",20,20,400,0,0.375,1.5,"sigmoid",100,1,1,109.86,-832.319845531437,-2.27339570282767,218.353006998112,139400.4075088,0.365287235543637,0.265928118200414,2.27339570282767,218.353006998112,139400.4075088,0.363021007705804,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS02","weak_dependence_nbi","rs_joint_minus_rs_separate","NBI","N","seven_case",20,20,400,0,0.375,1.5,"sigmoid",100,1,NA,44.349999999994,1.01953218498792,-0.00269661221156121,-0.0260437690837415,-300.506947100002,0.00670222339132619,0.00484696109514156,0.00269661221156121,-0.0260437690837415,-300.506947100002,-0.0429426891162219,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS02","weak_dependence_nbi","rs_separate","NBI","N","seven_case",20,20,400,0,0.375,1.5,"sigmoid",100,1,1,62.9250000000012,-833.339377716425,-2.27069909061611,218.379050767196,139700.9144559,0.358585012152311,0.261081157105272,2.27069909061611,218.379050767196,139700.9144559,0.405963696822026,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS03","central_joint_win_nbi","rs_joint","NBI","N","seven_case",20,20,400,0,0.375,3.5,"sigmoid",100,1,1,220.485,-696.485255064734,-7.85127490328815,197.149473816342,95418.8493994,0.606766185911459,0.484255354922703,7.85127490328815,197.149473816342,95418.8493994,0.439687234551595,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS03","central_joint_win_nbi","rs_joint_minus_rs_separate","NBI","N","seven_case",20,20,400,0,0.375,3.5,"sigmoid",100,1,NA,132.565,4.04748072068355,-0.382325317048951,-1.15105854926664,-3348.6725056,0.0100123746937001,0.00775094553532923,0.382325317048951,-1.15105854926664,-3348.6725056,-0.112760768542413,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS03","central_joint_win_nbi","rs_separate","NBI","N","seven_case",20,20,400,0,0.375,3.5,"sigmoid",100,1,1,78.3450000000009,-700.532735785418,-7.4689495862392,198.300532365608,98767.521905,0.596753811217759,0.476504409387373,7.4689495862392,198.300532365608,98767.521905,0.552448003094008,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS04","fewer_time_points_same_rows_nbi","rs_joint","NBI","N","seven_case",40,10,400,0,0.375,3.5,"sigmoid",100,1,1,181.700000000005,-699.895666793398,-8.62339024191801,43.5403165071787,18875.75122095,0.597676220029668,0.481713332073722,8.62339024191801,43.5403165071787,18875.75122095,0.343408161280168,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS04","fewer_time_points_same_rows_nbi","rs_joint_minus_rs_separate","NBI","N","seven_case",40,10,400,0,0.375,3.5,"sigmoid",100,1,NA,104.465000000003,2.60624939520135,-0.290330830954116,-0.150913841920804,-429.8740419,0.00710199012533147,0.00546646173070569,0.290330830954116,-0.150913841920804,-429.8740419,-0.0650588908313509,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS04","fewer_time_points_same_rows_nbi","rs_separate","NBI","N","seven_case",40,10,400,0,0.375,3.5,"sigmoid",100,1,1,78,-702.501916188599,-8.3330594109639,43.6912303490995,19305.62526285,0.590574229904336,0.476246870343016,8.3330594109639,43.6912303490995,19305.62526285,0.408467052111519,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS05","weaker_shared_shape_nbi","rs_joint","NBI","N","seven_case",20,20,400,0,0.125,3.5,"sigmoid",100,1,1,173.180000000001,-687.028836143693,-8.07812157251892,195.385120098486,93388.759698,0.587050009386118,0.470027007965315,8.07812157251892,195.385120098486,93388.759698,0.459691407334967,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS05","weaker_shared_shape_nbi","rs_joint_minus_rs_separate","NBI","N","seven_case",20,20,400,0,0.125,3.5,"sigmoid",100,1,NA,100.929999999993,3.3686169743154,-0.259507691186503,-0.445511280592971,-873.6121997,0.00990090293711925,0.00776389829841072,0.259507691186503,-0.445511280592971,-873.6121997,-0.0629009359321178,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS05","weaker_shared_shape_nbi","rs_separate","NBI","N","seven_case",20,20,400,0,0.125,3.5,"sigmoid",100,1,1,68.1549999999843,-690.397453118009,-7.81861388133242,195.830631379079,94262.3718977,0.577149106448999,0.462263109666904,7.81861388133242,195.830631379079,94262.3718977,0.522592343267085,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS06","larger_sample_same_T_nbi","rs_joint","NBI","N","seven_case",20,20,400,0,0.375,1.75,"sigmoid",100,1,1,113.314999999999,-816.484686187641,-2.3718569927186,216.243399075204,130603.5785997,0.397814422273248,0.296264464588048,2.3718569927186,216.243399075204,130603.5785997,0.384322892470718,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS06","larger_sample_same_T_nbi","rs_joint_minus_rs_separate","NBI","N","seven_case",20,20,400,0,0.375,1.75,"sigmoid",100,1,NA,53.5549999999995,1.43149532787301,-0.00625298951587125,-0.703283846285001,-1641.9360772,0.00942450368638959,0.0067982834061175,0.00625298951587125,-0.703283846285001,-1641.9360772,-0.0538760912204416,6
"nbi_final_jvs01to06_case_specific_100rep_vs100","JVS06","larger_sample_same_T_nbi","rs_separate","NBI","N","seven_case",20,20,400,0,0.375,1.75,"sigmoid",100,1,1,57.3400000000002,-817.916181515514,-2.36560400320273,216.946682921489,132245.5146769,0.388389918586858,0.289466181181931,2.36560400320273,216.946682921489,132245.5146769,0.438198983691159,6
