"case_id","hypothesis_role","joint_review_rep","family","copula","design","n","time_points","n_subject","n_time","total_observations","mu_strength","sigma_strength","theta_strength","time_shape","dependence","missingness","start_mode","rs_joint_success","rs_separate_success","delta_joint_loglik","delta_copula_loglik","delta_marginal_loglik","delta_elapsed_sec","delta_train_joint_loglik","delta_train_copula_loglik","delta_train_marginal_loglik","delta_train_rmse_mu","delta_train_rmse_sigma","delta_train_rmse_theta","delta_train_rmse_tau","delta_test_joint_log_score","delta_test_log_score_per_obs","delta_test_marginal_log_score","delta_test_copula_log_score","delta_heldout_variogram_score_p05","delta_heldout_variogram_score_p2","delta_benchmark_mean_rmse","delta_benchmark_neg_log_score","delta_benchmark_variogram_score_p05","delta_benchmark_variogram_score_p2","delta_benchmark_theta_time_abs_error"
"JVS06","larger_sample_same_T_no",1,"NO","N","seven_case",100,75,100,75,7500,0,1.5,3.5,"sigmoid","case_specific","none","default",TRUE,TRUE,100.147938526972,164.634312238275,-64.4863737113028,290.37,100.147938526972,164.634312238275,-64.4863737113028,-0.156169307416037,0.028548323199159,0.0192228594845669,0.0144412144770142,-802.516743182021,-0.107002232424269,-43.3405632604299,-759.176179921592,-5.78937374050236,-715.739610799756,-0.156169307416037,0.107002232424269,-5.78937374050236,-715.739610799756,0.0144412144770142
"JVS06","larger_sample_same_T_no",2,"NO","N","seven_case",100,75,100,75,7500,0,1.5,3.5,"sigmoid","case_specific","none","default",TRUE,TRUE,89.755018195634,81.4884143165436,8.26660387909033,94.7100000000005,89.755018195634,81.4884143165436,8.26660387909033,-0.0919436410623307,0.0279069578168184,0.0143843346316527,0.0126339787523218,-1015.45642777042,-0.135394190369389,5.42700030134802,-1020.88342807177,-6.17088029335196,-480.042460104756,-0.0919436410623307,0.135394190369389,-6.17088029335196,-480.042460104756,0.0126339787523218
"JVS06","larger_sample_same_T_no",3,"NO","N","seven_case",100,75,100,75,7500,0,1.5,3.5,"sigmoid","case_specific","none","default",TRUE,TRUE,21.0048834067602,46.0883535598205,-25.0834701530603,140.79,21.0048834067602,46.0883535598205,-25.0834701530603,-0.0127139217813094,0.0225394813491792,0.00604552067934072,0.00581896976281593,-224.581114597939,-0.0299441486130585,-81.7642467840869,-142.816867813852,-2.92145877247117,-545.062363337151,-0.0127139217813094,0.0299441486130585,-2.92145877247117,-545.062363337151,0.00581896976281593
"JVS06","larger_sample_same_T_no",4,"NO","N","seven_case",100,75,100,75,7500,0,1.5,3.5,"sigmoid","case_specific","none","default",TRUE,TRUE,16.9695113056887,32.8498948902843,-15.8803835845956,143.339999999999,16.9695113056887,32.8498948902843,-15.8803835845956,-0.0214223816104943,0.00910484629550745,0.00451879077460371,0.00370707018873617,-468.996432339194,-0.0625328576452258,-76.6876065931228,-392.308825746072,-0.140362843813136,-34.2530975925256,-0.0214223816104943,0.0625328576452258,-0.140362843813136,-34.2530975925256,0.00370707018873617
"JVS06","larger_sample_same_T_no",5,"NO","N","seven_case",100,75,100,75,7500,0,1.5,3.5,"sigmoid","case_specific","none","default",TRUE,TRUE,46.9723699230562,71.6355631900624,-24.6631932670061,155.42,46.9723699230562,71.6355631900624,-24.6631932670061,-0.0515362945270011,0.0135467992806635,0.00973084271094082,0.00732411773570407,-540.022337785866,-0.0720029783714486,-93.7958510799454,-446.226486705921,-1.88173268127832,-145.622285729285,-0.0515362945270011,0.0720029783714486,-1.88173268127832,-145.622285729285,0.00732411773570407
"JVS06","larger_sample_same_T_no",6,"NO","N","seven_case",100,75,100,75,7500,0,1.5,3.5,"sigmoid","case_specific","none","default",TRUE,TRUE,31.4000104171391,41.6195235615505,-10.2195131444114,75.8899999999994,31.4000104171391,41.6195235615505,-10.2195131444114,-0.0167851612734409,0.0226688120877425,0.00742111846868443,0.00676663587994875,-1600.80984006963,-0.213441312009284,-186.838021796304,-1413.97181827333,-0.758424170972376,-201.92691261274,-0.0167851612734409,0.213441312009284,-0.758424170972376,-201.92691261274,0.00676663587994875
"JVS06","larger_sample_same_T_no",7,"NO","N","seven_case",100,75,100,75,7500,0,1.5,3.5,"sigmoid","case_specific","none","default",TRUE,TRUE,30.1932539971403,49.9061947457831,-19.7129407486427,122.27,30.1932539971403,49.9061947457831,-19.7129407486427,-0.0181634592147277,0.011294498765528,0.00497963678869418,0.0050200145218553,-525.465836806938,-0.0700621115742583,-23.7592310189266,-501.706605788011,-3.09938867087567,133.836239377615,-0.0181634592147277,0.0700621115742583,-3.09938867087567,133.836239377615,0.0050200145218553
"JVS06","larger_sample_same_T_no",8,"NO","N","seven_case",100,75,100,75,7500,0,1.5,3.5,"sigmoid","case_specific","none","default",TRUE,TRUE,13.948106181464,159.188284858292,-145.240178676828,477.169999999998,13.948106181464,159.188284858292,-145.240178676828,-0.03459325936241,-0.127546348600408,-0.00258387732767407,-0.0054316012577435,77.6694657110002,0.0103559287614665,-7.5936676876936,85.2631333986938,7.42563554559331,778.374503551655,-0.03459325936241,-0.0103559287614665,7.42563554559331,778.374503551655,-0.0054316012577435
"JVS06","larger_sample_same_T_no",9,"NO","N","seven_case",100,75,100,75,7500,0,1.5,3.5,"sigmoid","case_specific","none","default",TRUE,TRUE,44.7647874557852,85.6397749051912,-40.874987449406,35.2700000000004,44.7647874557852,85.6397749051912,-40.874987449406,-0.0469488527804651,7.14796154439035e-05,0.00575189662895159,0.00346886196669999,-233.832930675153,-0.0311777240900204,-12.2009843201868,-221.631946354965,0.326274471117813,64.6074315574224,-0.0469488527804651,0.0311777240900204,0.326274471117813,64.6074315574224,0.00346886196669999
"JVS06","larger_sample_same_T_no",10,"NO","N","seven_case",100,75,100,75,7500,0,1.5,3.5,"sigmoid","case_specific","none","default",TRUE,TRUE,37.1920691706091,57.5258140033984,-20.3337448327893,50.9400000000023,37.1920691706091,57.5258140033984,-20.3337448327893,-0.0169666803830995,0.0317912824927354,0.00127814670392279,0.0017181394553456,-2177.9995940983,-0.290399945879773,-372.889338568233,-1805.11025553007,-4.54663252351361,-506.964099598801,-0.0169666803830995,0.290399945879773,-4.54663252351361,-506.964099598801,0.0017181394553456
