"profile","case_id","hypothesis_role","method","family","copula","design","n_subject","n_time","total_observations","mu_strength","sigma_strength","theta_strength","time_shape","n","success_rate","convergence_rate","median_elapsed_sec","mean_train_joint_loglik","mean_test_log_score_per_obs","mean_heldout_variogram_score_p05","mean_heldout_variogram_score_p2","mean_train_rmse_theta","mean_train_rmse_tau","mean_benchmark_neg_log_score","mean_benchmark_variogram_score_p05","mean_benchmark_variogram_score_p2","mean_benchmark_mean_rmse","selected_review_cases"
"no_paired_seed_jvs01to06_10rep_vs100","JVS01","theta_off_control_no","rs_joint","NO","N","seven_case",40,75,3000,0,1.5,0,"sigmoid",10,1,1,1.42000000000189,-3705.75462527936,-1.55995127517857,894.479847691653,81786.1911987382,0.0271985289179644,0.0176236564791159,1.55995127517857,894.479847691653,81786.1911987382,0.0265322274416924,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS01","theta_off_control_no","rs_joint_minus_rs_separate","NO","N","seven_case",40,75,3000,0,1.5,0,"sigmoid",10,1,NA,0.140000000006694,0.00736674218669577,-0.000250110032475992,-0.0011085341149851,-1.42572478020738,0.000158976587410224,0.000102918834589377,0.000250110032475992,-0.0011085341149851,-1.42572478020738,0.000130849594194707,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS01","theta_off_control_no","rs_separate","NO","N","seven_case",40,75,3000,0,1.5,0,"sigmoid",10,1,1,1.2300000000032,-3705.76199202155,-1.5597011651461,894.480956225768,81787.6169235184,0.0270395523305542,0.0175207376445265,1.5597011651461,894.480956225768,81787.6169235184,0.0264013778474977,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS02","weak_dependence_no","rs_joint","NO","N","seven_case",40,75,3000,0,1.5,1.5,"sigmoid",10,1,1,5.4950000000008,-3168.22851937798,-1.36909741205365,868.662416405382,64752.6305855857,0.369581418259286,0.27291591889594,1.36909741205365,868.662416405382,64752.6305855857,0.0408538636227722,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS02","weak_dependence_no","rs_joint_minus_rs_separate","NO","N","seven_case",40,75,3000,0,1.5,1.5,"sigmoid",10,1,NA,1.57999999999993,1.34814130823447,-0.00570836336812128,-0.36688817432572,199.214147469429,0.00338999538852211,0.00268803138946622,0.00570836336812128,-0.36688817432572,199.214147469429,-0.00496510978682614,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS02","weak_dependence_no","rs_separate","NO","N","seven_case",40,75,3000,0,1.5,1.5,"sigmoid",10,1,1,3.81500000000051,-3169.57666068621,-1.36338904868553,869.029304579708,64553.4164381163,0.366191422870764,0.270227887506473,1.36338904868553,869.029304579708,64553.4164381163,0.0458189734095983,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS03","central_joint_win_no","rs_joint","NO","N","seven_case",40,75,3000,0,1.5,3.5,"sigmoid",10,1,1,29.4250000000011,-1644.47120436931,-2.92157010162596,747.472637085577,37774.0590786228,0.624841090086912,0.500872161011739,2.92157010162596,747.472637085577,37774.0590786228,0.0493063472378245,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS03","central_joint_win_no","rs_joint_minus_rs_separate","NO","N","seven_case",40,75,3000,0,1.5,3.5,"sigmoid",10,1,NA,21.1899999999987,19.3247861712245,-0.157877200111689,-0.830716021606736,-65.2722065486037,0.00781839179419922,0.0063040441921249,0.157877200111689,-0.830716021606736,-65.2722065486037,-0.0296327253273675,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS03","central_joint_win_no","rs_separate","NO","N","seven_case",40,75,3000,0,1.5,3.5,"sigmoid",10,1,1,7.28000000000065,-1663.79599054054,-2.76369290151427,748.303353107184,37839.3312851714,0.617022698292713,0.494568116819614,2.76369290151427,748.303353107184,37839.3312851714,0.0789390725651921,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS04","fewer_time_points_same_rows_no","rs_joint","NO","N","seven_case",150,20,3000,0,1.5,3.5,"sigmoid",10,1,1,17.9599999999991,-1881.67990025681,-2.07760080654012,43.826067386503,1183.03109451533,0.59534443468279,0.475943114945159,2.07760080654012,43.826067386503,1183.03109451533,0.0329544639681295,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS04","fewer_time_points_same_rows_no","rs_joint_minus_rs_separate","NO","N","seven_case",150,20,3000,0,1.5,3.5,"sigmoid",10,1,NA,13.0649999999987,14.6308240882141,-0.0723194945525833,0.0158144727539224,2.05627380241898,0.00665333891230573,0.00525603214566714,0.0723194945525833,0.0158144727539224,2.05627380241898,-0.0220476180347027,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS04","fewer_time_points_same_rows_no","rs_separate","NO","N","seven_case",150,20,3000,0,1.5,3.5,"sigmoid",10,1,1,5.15499999999884,-1896.31072434502,-2.00528131198754,43.8102529137491,1180.97482071291,0.588691095770484,0.470687082799491,2.00528131198754,43.8102529137491,1180.97482071291,0.0550020820028323,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS05","weaker_shared_shape_no","rs_joint","NO","N","seven_case",40,75,3000,0,0.5,3.5,"sigmoid",10,1,1,12.7299999999996,-1521.66903218183,-2.68154635698254,656.832023524139,12269.1580894288,0.585251931723394,0.476341206060202,2.68154635698254,656.832023524139,12269.1580894288,0.052874340882614,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS05","weaker_shared_shape_no","rs_joint_minus_rs_separate","NO","N","seven_case",40,75,3000,0,0.5,3.5,"sigmoid",10,1,NA,9.49999999999636,31.3113705893464,-0.186523674990952,-3.08432573239072,-63.6238269761148,0.0098844656988136,0.00889549963726183,0.186523674990952,-3.08432573239072,-63.6238269761148,-0.0438588652235496,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS05","weaker_shared_shape_no","rs_separate","NO","N","seven_case",40,75,3000,0,0.5,3.5,"sigmoid",10,1,1,2.73500000000422,-1552.98040277118,-2.49502268199159,659.91634925653,12332.781916405,0.575367466024581,0.46744570642294,2.49502268199159,659.91634925653,12332.781916405,0.0967332061061636,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS06","larger_sample_same_T_no","rs_joint","NO","N","seven_case",100,75,7500,0,1.5,3.5,"sigmoid",10,1,1,159.1,-4403.35251350534,-1.92631839850756,764.163678326157,42137.2459728317,0.570705541246905,0.459378926154736,1.92631839850756,764.163678326157,42137.2459728317,0.0292947663522535,6
"no_paired_seed_jvs01to06_10rep_vs100","JVS06","larger_sample_same_T_no","rs_joint_minus_rs_separate","NO","N","seven_case",100,75,7500,0,1.5,3.5,"sigmoid",10,1,NA,131.53,43.2347948580249,-0.100160157221526,-1.75563436800675,-165.279265528832,0.00707492695436838,0.00554674014826983,0.100160157221526,-1.75563436800675,-165.279265528832,-0.0467242959411315,6
