"study_id","scenario_id","method","attempted","successful","converged","convergence_not_reported","retained","parameter","term","n_metric","n_se","estimand_status","true_value_mean","mean_estimate","bias","bias_mcse","bias_ci_low","bias_ci_high","rmse","rmse_mcse","rmse_ci_low","rmse_ci_high","empirical_sd","empirical_sd_mcse","empirical_sd_ci_low","empirical_sd_ci_high","mean_se","mean_se_mcse","mean_se_ci_low","mean_se_ci_high","se_to_empirical_sd","coverage","coverage_mcse","coverage_ci_low","coverage_ci_high"
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"mu","intercept",100,100,"estimated",0.787552626245277,0.786261209999235,-0.00129141624604236,0.0017770723597277,-0.00481751334640974,0.00223468085432503,0.0177287446515441,0.00117101372358909,0.0152289627019506,0.0199172153892531,0.0253584565903253,0.00180214703691,0.0222648984751825,0.0294582915334437,0.0165796725949542,0.000125049927565836,0.0163315464088834,0.016827798781025,0.653812369688133,0.92,0.0271293199325011,0.850018922990513,0.958906538515619
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"mu","t",100,100,"estimated",0.18,0.178144643519194,-0.00185535648080569,0.00143191324826108,-0.0046965830212065,0.000985870059595117,0.0143676555907665,0.00101311058526152,0.0121928219940739,0.016254050146674,0.0143191324826108,0.00101761643429451,0.0125722963399772,0.0166341818823344,0.0140882918250309,5.73103487661033e-05,0.0139745756595078,0.0142020079905539,0.983878865716181,0.95,0.0217944947177034,0.888249530768081,0.978456320845632
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"mu","x1",100,100,"estimated",0.12,0.11942842496093,-0.000571575039069769,0.00102835117196338,-0.00261204686666326,0.00146889678852372,0.0102479171142361,0.000748138533935894,0.00863680330536836,0.011638094303832,0.0102835117196338,0.000730817355092411,0.00902899368462937,0.0119461011022308,0.0109731587916815,9.57957972586972e-05,0.01078307914687,0.0111632384364929,1.06706338173671,0.96,0.0195959179422654,0.901629285641121,0.984336696008452
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"mu","x2",100,100,"estimated",-0.1,-0.10002122738408,-2.12273840801616e-05,0.00217965139956688,-0.00434612863964982,0.0043036738714895,0.0216872679870376,0.00160213163447043,0.0182332375466854,0.0246622025384861,0.0217965139956688,0.00154901079931056,0.0191374884941385,0.0253204709604513,0.0227929594277458,0.000115215030675579,0.0225643478108017,0.0230215710446898,1.04571581640417,0.96,0.0195959179422654,0.901629285641121,0.984336696008452
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"nu","intercept",100,100,"estimated",0,-0.00735018650570433,-0.00735018650570433,0.0105610708712802,-0.0283056423554041,0.0136052693439954,0.105338078673103,0.00707345577065905,0.0902175919059022,0.118545382650619,0.105610708712802,0.00750542625079771,0.0927269251977945,0.12268534700579,0.0970089195972069,0.000603830640690967,0.0958107886040606,0.0982070505903532,0.918551923186246,0.92,0.0271293199325011,0.850018922990513,0.958906538515619
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"nu","t",100,100,"estimated",0.12,0.115397387895107,-0.00460261210489286,0.0100144792203674,-0.0244735115352557,0.01526828732547,0.099749053377212,0.00626269461712927,0.0864337982746245,0.111485182042823,0.100144792203674,0.00711698047903565,0.0879278130863736,0.116335727049629,0.0985010030510613,0.000979495858432438,0.0965574707647509,0.100444535337372,0.983585874847399,0.94,0.0237486841740758,0.875231845541041,0.972213876036812
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"nu","x1",100,100,"estimated",0.1,0.102558404785496,0.00255840478549606,0.00533701098944193,-0.00803138289055761,0.0131481924615497,0.0531641832335212,0.00351687070198145,0.0456557346624616,0.0597362088703806,0.0533701098944193,0.00379284855382261,0.046859321827257,0.0619987360367015,0.0528395186486948,0.00052630446201414,0.0517952164134708,0.0538838208839188,0.990058269567477,0.91,0.0286181760425084,0.837737871472837,0.951927459997435
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"nu","x2",100,100,"estimated",-0.08,-0.0615056081712349,0.0184943918287651,0.0106725093698212,-0.00268218217879896,0.0396709658363291,0.107788615807788,0.00792126500174841,0.0907196162455548,0.122501929061453,0.106725093698212,0.00758462214319279,0.0937053628433993,0.123979900468212,0.103624509037601,0.000557161638222912,0.102518979470266,0.104730038604937,0.970947932176306,0.94,0.0237486841740758,0.875231845541041,0.972213876036812
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"sigma","intercept",100,100,"estimated",-1.21239856992169,-1.21757686740287,-0.00517829748117822,0.00468258860548715,-0.0144695691694912,0.00411297420713479,0.0468780517255053,0.00291562995155616,0.0406835341512121,0.0523445652969384,0.0481848194411968,0.00342434600744297,0.0423066013139203,0.0559751124256775,0.0428185821662184,0.00039721334838108,0.0420304247069642,0.0436067396254725,0.88863220123659,0.92,0.0271293199325011,0.850018922990513,0.958906538515619
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"sigma","t",100,100,"estimated",0.15,0.152928984451994,0.00292898445199405,0.00371294900932401,-0.00443831191268265,0.0102962808166707,0.0370593037462686,0.00249897906216786,0.0317155111466206,0.0417242176802032,0.0371294900932401,0.00263867796193244,0.03259994646822,0.0431324098830238,0.0341149674564427,0.000161631582199538,0.0337942553311306,0.0344356795817547,0.918810556535323,0.93,0.0255147016443461,0.862504852609265,0.965680738932727
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"sigma","x1",100,100,"estimated",0.18,0.176571687662783,-0.00342831233721656,0.00284070835167539,-0.00906489400312398,0.00220826932869085,0.028471847419338,0.00177586804471977,0.0246980398439957,0.0318009279550853,0.0284070835167539,0.00201880351844853,0.0249416137856694,0.0329998059965007,0.0258218280240757,0.000177880655986975,0.0254688742111071,0.0261747818370444,0.908992576054018,0.96,0.0195959179422654,0.901629285641121,0.984336696008452
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"sigma","x2",100,100,"estimated",0.12,0.107675704062568,-0.0123242959374323,0.00551970412654429,-0.023276586433063,-0.00137200544180161,0.0562861839279216,0.00366439549210678,0.0484729389119574,0.0631398700946818,0.0551970412654429,0.0039226829128342,0.0484633800770988,0.0641210370035411,0.0515100569851931,0.000246180614316334,0.0510215812371146,0.0519985327332715,0.933203226192522,0.92,0.0271293199325011,0.850018922990513,0.958906538515619
