"study_id","scenario_id","method","attempted","successful","converged","convergence_not_reported","retained","parameter","n_metric","irmse","irmse_mcse","irmse_ci_low","irmse_ci_high","replicate_irmse_empirical_sd","replicate_irmse_sd_mcse","replicate_irmse_sd_ci_low","replicate_irmse_sd_ci_high","mean_integrated_abs_bias","integrated_abs_bias_mcse","integrated_abs_bias_ci_low","integrated_abs_bias_ci_high"
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"mu",100,0.0345376334840028,0.000985577435160127,0.0325232927655168,0.0364407969319978,0.00970122086818285,0.00068943574620686,0.00851773833103942,0.0112696682287158,0.0254178884014954,0.00073744163356249,0.0239546442113751,0.0268811325916157
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"sigma",100,0.0589646608614456,0.00158925006205332,0.0557220864002265,0.0620379847207845,0.015339402026857,0.00109012383353087,0.0134680999839825,0.017819403765616,0.048355247531589,0.0013253283085486,0.0457255086353496,0.0509849864278285
"bcpe_t_legacy_reconciliation","n500_d4","gamlss.longitudinal",100,100,100,0,100,"theta",100,0.0557389399795257,0.0032610767547218,0.0488414917941681,0.0618721871231536,0.0248776204252417,0.00176797549862817,0.0218427210307214,0.0288997160586154,0.0413962171364175,0.00210662202409964,0.0372162220056137,0.0455762122672213
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"mu",100,0.0377228020123023,0.000999652105578156,0.0356841901292621,0.0396567542562096,0.00960637599479537,0.000682695414557238,0.00843446388295375,0.01115948928621,0.0284288595643888,0.000701508928730415,0.0270369136563127,0.0298208054724649
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"sigma",100,0.104055850351549,0.00630707259332807,0.0906817800276067,0.11589674178247,0.0498777168975358,0.00354465499091232,0.0437929768691527,0.0579417095104577,0.0762646380257423,0.00468040839965934,0.0669776923387908,0.0855515837126938
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"mu",100,0.0824840914750074,0.00235890279826097,0.0776625997944548,0.0870389067376259,0.0231413260038895,0.00164458242714932,0.0203182426431376,0.0268827057934244,0.0640660396684216,0.00186508421620844,0.0603653079504846,0.0677667713863587
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"sigma",100,0.180241226474866,0.00539682921572684,0.169194209647126,0.190649203681035,0.0506721555441482,0.00360111328709844,0.0444904994391318,0.0588645892280771,0.142138222069733,0.00414717451546273,0.133909328094964,0.150367116044501
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint",100,100,100,0,100,"mu",100,0.073835048865565,0.00244508767863455,0.0688126477874455,0.0785369237138922,0.0241227266660627,0.00171432753521838,0.0211799191426095,0.0280227746582007,0.0565661146703207,0.00201097254078853,0.0525759088657133,0.0605563204749281
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint",100,100,100,0,100,"sigma",100,0.132797500671361,0.00559844131460623,0.121180890518474,0.143476632739515,0.0501527479202856,0.00356420059460241,0.0440344559898255,0.0582612062440245,0.101918547238957,0.0042244950764747,0.0935362324963226,0.110300861981591
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint",100,100,100,0,100,"theta",100,0.0658110143182315,0.0021049300827586,0.0614926991232065,0.069862916956936,0.0203771106674549,0.00144813819718631,0.0178912426555776,0.0236715852367824,0.050045688048117,0.00165865331369686,0.0467545600262747,0.0533368160699593
