"missing_mechanism","target_missing_rate","observed_missing_rate","complete_adjacent_pair_rate","model","parameter","mean_rmse","mean_abs_bias","mean_coverage_95","target_missing_pct"
"mar",0,0,1,"gamlss2","mu",0.015473882237185,0.00225082665222646,0.866666666666667,0
"time_mar",0,0,1,"gamlss2","mu",0.015473882237185,0.00225082665222646,0.866666666666667,0
"mar",0.1,0.099175,0.817933333333333,"gamlss2","mu",0.0162275236284664,0.00244415492205396,0.883333333333333,10
"time_mar",0.1,0.10285,0.833633333333333,"gamlss2","mu",0.0175794544128774,0.00237374096930698,0.85,10
"mar",0.2,0.200625,0.655166666666667,"gamlss2","mu",0.0155333746761481,0.00191867714621241,0.916666666666667,20
"time_mar",0.2,0.199325,0.683066666666667,"gamlss2","mu",0.0171757187656251,0.0019085715517952,0.85,20
"mar",0.3,0.30165,0.514,"gamlss2","mu",0.0193285170022365,0.00339585397782219,0.883333333333333,30
"time_mar",0.3,0.299425,0.543333333333333,"gamlss2","mu",0.0177729715171597,0.00433050156488578,0.9,30
"mar",0.4,0.398625,0.398133333333333,"gamlss2","mu",0.0211506232068888,0.00398426065939427,0.866666666666667,40
"time_mar",0.4,0.396325,0.413766666666667,"gamlss2","mu",0.0177768248923828,0.00300619328808967,0.866666666666667,40
"mar",0.5,0.500025,0.283,"gamlss2","mu",0.023618877108697,0.00350911765920058,0.866666666666667,50
"time_mar",0.5,0.502,0.292466666666667,"gamlss2","mu",0.0207985568795089,0.00291932655822093,0.833333333333333,50
"mar",0,0,1,"gamlss.longitudinal","mu",0.0154454135296064,0.0023484623995129,0.9,0
"time_mar",0,0,1,"gamlss.longitudinal","mu",0.0154454135296064,0.0023484623995129,0.9,0
"mar",0.1,0.099175,0.817933333333333,"gamlss.longitudinal","mu",0.0167718791507013,0.00513820830861084,0.944444444444444,10
"time_mar",0.1,0.10285,0.833633333333333,"gamlss.longitudinal","mu",0.0169928808137213,0.00325480896683609,0.923076923076923,10
"mar",0.2,0.200625,0.655166666666667,"gamlss.longitudinal","mu",0.0161683531973615,0.00394092094683514,0.916666666666667,20
"time_mar",0.2,0.199325,0.683066666666667,"gamlss.longitudinal","mu",0.0149792028143347,0.00947708045876396,0.944444444444444,20
"mar",0.3,0.30165,0.514,"gamlss.longitudinal","mu",0.0214544484290669,0.00209153054090365,0.866666666666667,30
"time_mar",0.3,0.299425,0.543333333333333,"gamlss.longitudinal","mu",0.0191989862522528,0.00663757893985977,0.866666666666667,30
"mar",0.4,0.398625,0.398133333333333,"gamlss.longitudinal","mu",0.0198311380246706,0.00389926971483051,0.901960784313726,40
"time_mar",0.4,0.396325,0.413766666666667,"gamlss.longitudinal","mu",0.0145978915491259,0.00344969832520409,1,40
"mar",0.5,0.500025,0.283,"gamlss.longitudinal","mu",0.0211775150788847,0.00135677000574917,0.929824561403509,50
"time_mar",0.5,0.502,0.292466666666667,"gamlss.longitudinal","mu",0.0181988002216225,0.00226876291841303,0.96078431372549,50
"mar",0,0,1,"gamlss2","nu",0.113990126054356,0.0194779923148415,0.866666666666667,0
"time_mar",0,0,1,"gamlss2","nu",0.113990126054356,0.0194779923148415,0.866666666666667,0
"mar",0.1,0.099175,0.817933333333333,"gamlss2","nu",0.113143085937376,0.0271648578301501,0.933333333333333,10
"time_mar",0.1,0.10285,0.833633333333333,"gamlss2","nu",0.122175258007068,0.0137056754229882,0.85,10
"mar",0.2,0.200625,0.655166666666667,"gamlss2","nu",0.122848612562765,0.0202519722932019,0.9,20
"time_mar",0.2,0.199325,0.683066666666667,"gamlss2","nu",0.121104746255957,0.012104812927482,0.916666666666667,20
"mar",0.3,0.30165,0.514,"gamlss2","nu",0.136339339231232,0.00674732622097787,0.9,30
"time_mar",0.3,0.299425,0.543333333333333,"gamlss2","nu",0.14002613721352,0.0217533040256435,0.883333333333333,30
"mar",0.4,0.398625,0.398133333333333,"gamlss2","nu",0.143174036922534,0.0156613363134331,0.95,40
"time_mar",0.4,0.396325,0.413766666666667,"gamlss2","nu",0.145708942267037,0.0184984528537019,0.883333333333333,40
"mar",0.5,0.500025,0.283,"gamlss2","nu",0.153784238819886,0.028921822080829,0.95,50
"time_mar",0.5,0.502,0.292466666666667,"gamlss2","nu",0.171681298700135,0.0411685359592875,0.933333333333333,50
"mar",0,0,1,"gamlss.longitudinal","nu",0.076871677924924,0.0188770187082382,0.966666666666667,0
"time_mar",0,0,1,"gamlss.longitudinal","nu",0.076871677924924,0.0188770187082382,0.966666666666667,0
"mar",0.1,0.099175,0.817933333333333,"gamlss.longitudinal","nu",0.0789417515514093,0.0356563916478296,0.972222222222222,10
"time_mar",0.1,0.10285,0.833633333333333,"gamlss.longitudinal","nu",0.0967044389625822,0.033026741811663,0.897435897435897,10
"mar",0.2,0.200625,0.655166666666667,"gamlss.longitudinal","nu",0.0924824050397739,0.0451451295176834,1,20
"time_mar",0.2,0.199325,0.683066666666667,"gamlss.longitudinal","nu",0.109432454980077,0.0451093693263857,0.833333333333333,20
"mar",0.3,0.30165,0.514,"gamlss.longitudinal","nu",0.0828284372050636,0.0373709080325813,1,30
"time_mar",0.3,0.299425,0.543333333333333,"gamlss.longitudinal","nu",0.135098558736062,0.0536679955607808,0.8,30
