"scenario","model","n","d","parameter","s1","smooth_true","smooth_median","smooth_q05","smooth_q95","bias","rmse","missing_mechanism","target_missing_rate","observed_missing_rate","complete_adjacent_pair_rate","missing_label"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.32,0.497654878856311,0.498664160234889,0.439087283175311,0.532946371501103,-0.00220089891652082,0.0299712963533238,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.28,0.540257987900779,0.53701086726294,0.497221511548686,0.574750906576628,-0.00616530481746012,0.0269426872406511,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.72,-0.00672359507839471,-0.00841753683207879,-0.0635681489568223,0.0352032731920421,-0.000131232782974946,0.0350959930028672,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.7,0.0158736742092329,0.0161375039079415,-0.0421540187771917,0.0661990749997924,0.00253150981490401,0.0357213207689998,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.3,0.523081083962335,0.522615186991245,0.465894558505513,0.558236584025415,-0.00442557770238083,0.0282803639396953,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.74,-0.0302314603288967,-0.0341081487781508,-0.0848573879095031,0.0170145056980099,-0.00282834126195237,0.0345196981595884,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.66,0.057907947299117,0.0675370366490055,0.000159807225090014,0.122357163781072,0.00738306795732874,0.0369063747440538,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.32,-0.125444084499225,-0.121180205875779,-0.143818613737677,-0.0800114452453651,0.00956192061216904,0.0229068028049317,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.3,-0.0911753953421872,-0.0890925895491604,-0.118231002366844,-0.0622083668820467,0.00180424021241543,0.0193501466623128,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.28,-0.0555246914054204,-0.0587159949390129,-0.0900502825438555,-0.0363798772605555,-0.00590896606616502,0.0208851035741038,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.62,0.0950570556093092,0.108104741969509,0.0430450473010855,0.168883826222437,0.0110809722813573,0.0377168168581353,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.6,0.111565942276249,0.127351699923596,0.0642995508089142,0.187922052772264,0.0123412688481517,0.0378936187029999,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.42,-0.258002301042862,-0.218163148445646,-0.315753827124421,0.000241720539771486,0.05083641421672,0.108523860214758,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.75,-0.55,-0.548297856057359,-0.593411495420071,-0.496033041150552,0.00563470947226677,0.0315048291159353,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.73,-0.545663085722963,-0.538951599176357,-0.596718082300503,-0.496343430338715,0.00411887834383395,0.0325803819135102,"mar",0,0,1,"0%"
