"model","parameter","term","rep","estimate","std_error","true_value"
"gamlss","mu","intercept",1,1.67487372419377,0.0578336623479457,1.1
"gamlss","mu","x1",1,0.140872250612455,0.0213945478619296,0.18
"gamlss","mu","x2",1,-0.135219576361858,0.0437745150933226,-0.12
"gamlss","mu","time_scaled",1,0.104385351497284,0.0591963718529223,0.1
"gamlss","sigma","intercept",1,-0.522768672207106,0.119889469308565,-0.45
"gamlss","sigma","x1",1,0.148021584256816,0.0516910324793019,0.1
"gamlss","sigma","time_scaled",1,0.135160141739309,0.141057421488226,0.08
"ours_rs_joint","mu","intercept",1,1.12984876748702,0.0503869583594846,1.1
"ours_rs_joint","mu","x1",1,0.141650410745515,0.0320629108723077,0.18
"ours_rs_joint","mu","x2",1,-0.124667431736226,0.0634491099462744,-0.12
"ours_rs_joint","mu","time_scaled",1,0.104234317952452,0.0523643616597177,0.1
"ours_rs_joint","sigma","intercept",1,-0.558593430099216,0.0976138846219829,-0.45
"ours_rs_joint","sigma","x1",1,0.16182642382717,0.0555701400368271,0.1
"ours_rs_joint","sigma","time_scaled",1,0.110441477737826,0.139953476498288,0.08
"ours_rs_joint","theta","intercept",1,0.660112871362666,0.0432534145010439,0.7
"ours_rs_joint","theta","time_scaled",1,0.466066386444843,0.0952731671556773,0.2
"gamlss","mu","intercept",2,1.57593389944859,0.0588887114834189,1.1
"gamlss","mu","x1",2,0.1681922019852,0.023184263444481,0.18
"gamlss","mu","x2",2,-0.0920631720208465,0.0455940511712997,-0.12
"gamlss","mu","time_scaled",2,0.146077475456518,0.0606873934996372,0.1
"gamlss","sigma","intercept",2,-0.418296540556376,0.117961050949685,-0.45
"gamlss","sigma","x1",2,0.138720680017638,0.052435846175319,0.1
"gamlss","sigma","time_scaled",2,0.23454326752791,0.137790927853635,0.08
"ours_rs_joint","mu","intercept",2,1.05049389655454,0.0535498263776476,1.1
"ours_rs_joint","mu","x1",2,0.165366405986576,0.0349393825693965,0.18
"ours_rs_joint","mu","x2",2,-0.0729794709316336,0.0659099608499426,-0.12
"ours_rs_joint","mu","time_scaled",2,0.165426785744362,0.0537642386554448,0.1
"ours_rs_joint","sigma","intercept",2,-0.498980846719031,0.0968668199556953,-0.45
"ours_rs_joint","sigma","x1",2,0.0836995088862647,0.0565049576024716,0.1
"ours_rs_joint","sigma","time_scaled",2,0.220377336979568,0.131227679933626,0.08
"ours_rs_joint","theta","intercept",2,0.683538334394882,0.0446523289686603,0.7
"ours_rs_joint","theta","time_scaled",2,0.440198420082954,0.0983437090454565,0.2
"gamlss","mu","intercept",3,1.41973355425684,0.0549218583089021,1.1
"gamlss","mu","x1",3,0.185873689833127,0.0232464288452403,0.18
"gamlss","mu","x2",3,-0.0826282737089279,0.0431163722270591,-0.12
"gamlss","mu","time_scaled",3,0.164663072170887,0.0580501397575195,0.1
