"rep","engine","success","logLik","df","converged","iter","mu_irmse","sigma_irmse","theta_irmse","elapsed_sec","error"
1,"gamlss",TRUE,-4530.40615691236,21.0000008073367,TRUE,3,0.0699405957251297,0.107197008606255,NA,1.02487778663635,NA
1,"ours_rs_joint",TRUE,-4116.6565914018,NA,TRUE,6,0.0568769761469942,0.0752724976508539,0.0509952741681196,358.933614015579,NA
2,"gamlss",TRUE,-4484.93816996039,21.0000000244551,TRUE,5,0.0454061389955468,0.0946415521110199,NA,0.986371994018555,NA
2,"ours_rs_joint",TRUE,-4074.23302234248,NA,TRUE,10,0.0397285725893879,0.073736097946284,0.0820403001726908,479.26153087616,NA
3,"gamlss",TRUE,-4369.36092337308,21.0000001568089,TRUE,4,0.105832780677087,0.113428869906927,NA,0.6507248878479,NA
3,"ours_rs_joint",TRUE,-3980.02846579272,NA,TRUE,5,0.10049680619487,0.0845878004739963,0.0689919098676675,392.170235157013,NA
4,"gamlss",TRUE,-4357.06241917255,21.0000000935061,TRUE,6,0.0364556946879634,0.241689372834993,NA,0.732545852661133,NA
4,"ours_rs_joint",TRUE,-3954.93897995726,NA,TRUE,7,0.037272098663708,0.220989084594207,0.082019616490514,316.367490053177,NA
5,"gamlss",TRUE,-4439.75437647504,21.0000436665948,TRUE,5,0.0534355088605367,0.169533289825378,NA,0.721991062164307,NA
5,"ours_rs_joint",TRUE,-4064.08085964859,NA,TRUE,5,0.0446897385816623,0.126147919640374,0.0689472238244738,328.548373937607,NA
6,"gamlss",TRUE,-4407.50071406211,21.0000289456196,TRUE,6,0.0655548212521054,0.216574309234298,NA,1.0728759765625,NA
6,"ours_rs_joint",TRUE,-4011.32095461176,NA,TRUE,9,0.0508191839512039,0.0790548237610686,0.0553808725740897,561.222159862518,NA
7,"gamlss",TRUE,-4430.18136331454,20.999999834349,TRUE,5,0.070227095029584,0.127958331145241,NA,0.969266891479492,NA
7,"ours_rs_joint",TRUE,-3973.41782046864,NA,TRUE,6,0.0721177291501532,0.103745117860319,0.0421927808535167,459.531351804733,NA
8,"gamlss",TRUE,-4421.82687888568,21.0000000627243,TRUE,3,0.0794413004395788,0.192503594291332,NA,0.972867965698242,NA
8,"ours_rs_joint",TRUE,-3998.18730995591,NA,TRUE,7,0.0626514304529527,0.117309050160425,0.0685970046175108,418.355782985687,NA
9,"gamlss",TRUE,-4400.29729705123,21.0000000845098,TRUE,5,0.0560305654805514,0.117307339292901,NA,1.20959901809692,NA
9,"ours_rs_joint",TRUE,-4020.17318734759,NA,TRUE,6,0.0219226686448697,0.071515845753763,0.053406491973088,441.627873897552,NA
10,"gamlss",TRUE,-4447.19951363282,21.0000000815733,TRUE,5,0.104594679371195,0.18400518077471,NA,0.765160799026489,NA
