"scenario","n","d","rep","model","test_log_score_joint","test_log_score_marginal","test_log_score_copula","test_log_score_per_obs","predictive_nsim","variogram_score","variogram_p"
"n500_d4_nbi_signal2",500,4,1,"gamlss",-4467.83564171493,-4467.83564171493,0,-2.23391782085746,100,4.70111190572719,0.5
"n500_d4_nbi_signal2",500,4,1,"gamlss",-4467.83564171493,-4467.83564171493,0,-2.23391782085746,100,6973.5581452,2
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint",-4226.84580511517,-4784.01006331595,557.164258200781,-2.11342290255759,100,3.75768978290799,0.5
"n500_d4_nbi_signal2",500,4,1,"ours_rs_joint",-4226.84580511517,-4784.01006331595,557.164258200781,-2.11342290255759,100,4262.9223294,2
"n500_d4_nbi_signal2",500,4,2,"gamlss",-4464.10541033768,-4464.10541033768,0,-2.23205270516884,100,4.74314007365737,0.5
"n500_d4_nbi_signal2",500,4,2,"gamlss",-4464.10541033768,-4464.10541033768,0,-2.23205270516884,100,7833.7559184,2
"n500_d4_nbi_signal2",500,4,2,"ours_rs_joint",-4289.76251709026,-4915.92986245824,626.167345367983,-2.14488125854513,100,3.89344264338212,0.5
"n500_d4_nbi_signal2",500,4,2,"ours_rs_joint",-4289.76251709026,-4915.92986245824,626.167345367983,-2.14488125854513,100,5341.9134446,2
"n500_d4_nbi_signal2",500,4,3,"gamlss",-4417.66046063002,-4417.66046063002,0,-2.20883023031501,100,4.86766505149242,0.5
"n500_d4_nbi_signal2",500,4,3,"gamlss",-4417.66046063002,-4417.66046063002,0,-2.20883023031501,100,5527.864206,2
"n500_d4_nbi_signal2",500,4,3,"ours_rs_joint",-4154.1261867331,-4716.38008650674,562.253899773633,-2.07706309336655,100,4.04524790792272,0.5
"n500_d4_nbi_signal2",500,4,3,"ours_rs_joint",-4154.1261867331,-4716.38008650674,562.253899773633,-2.07706309336655,100,4368.5784364,2
"n500_d4_nbi_signal2",500,4,4,"gamlss",-4363.68085656337,-4363.68085656337,0,-2.18184042828169,100,4.65897641425135,0.5
"n500_d4_nbi_signal2",500,4,4,"gamlss",-4363.68085656337,-4363.68085656337,0,-2.18184042828169,100,8286.4928406,2
"n500_d4_nbi_signal2",500,4,4,"ours_rs_joint",-4196.59833194519,-4734.87455272814,538.276220782953,-2.09829916597259,100,3.96801413048245,0.5
"n500_d4_nbi_signal2",500,4,4,"ours_rs_joint",-4196.59833194519,-4734.87455272814,538.276220782953,-2.09829916597259,100,6346.8105918,2
"n500_d4_nbi_signal2",500,4,5,"gamlss",-4406.32962734248,-4406.32962734248,0,-2.20316481367124,100,4.69544830380454,0.5
"n500_d4_nbi_signal2",500,4,5,"gamlss",-4406.32962734248,-4406.32962734248,0,-2.20316481367124,100,5182.3170448,2
"n500_d4_nbi_signal2",500,4,5,"ours_rs_joint",-4269.47904293029,-4785.18187618115,515.702833250859,-2.13473952146514,100,3.92334537271273,0.5
"n500_d4_nbi_signal2",500,4,5,"ours_rs_joint",-4269.47904293029,-4785.18187618115,515.702833250859,-2.13473952146514,100,4042.4262538,2
"n500_d4_nbi_signal2",500,4,6,"gamlss",-4354.45853203202,-4354.45853203202,0,-2.17722926601601,100,4.82384713739936,0.5
