"scenario","n","d","rep","model","parameter","s1","smooth_hat","smooth_true"
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.01,-0.179624654803342,0.0345347857411223
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.0198989898989899,-0.119086329197689,0.0685869512385508
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.0297979797979798,-0.0591525530699813,0.102373874312396
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.0396969696969697,-7.92945071371454e-05,0.135764892712775
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.0495959595959596,0.0578771175014886,0.168630875249476
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.0594949494949495,0.114432283361433,0.200844721173682
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.0693939393939394,0.169243687400557,0.232281851707484
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.0792929292929293,0.221961752786905,0.262820691820315
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.0891919191919192,0.272236880686476,0.292343140389167
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.0990909090909091,0.319719495527146,0.320735026924362
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.108989898989899,0.364078564454511,0.347886553094604
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.118888888888889,0.405032088867074,0.373692717343834
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.128787878787879,0.442306162946698,0.398053720957789
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.138686868686869,0.475626869790684,0.420875354009903
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.148585858585859,0.504719658976043,0.442069359694014
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.158484848484848,0.529426539343156,0.461553775634893
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.168383838383838,0.54997907808838,0.479253250856694
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.178282828282828,0.566696278165193,0.495099337183499
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.188181818181818,0.579896492047775,0.509030753945069
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.198080808080808,0.589898490651419,0.520993624964097
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.207979797979798,0.596975344303788,0.530941686908495
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.217878787878788,0.601203613982067,0.53883646820295
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.227777777777778,0.602602051609734,0.544647437807864
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.237676767676768,0.601189816613338,0.548352123290309
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.247575757575758,0.596986067746658,0.549936197730394
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.257474747474747,0.589997206911265,0.549393535126948
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.267373737373737,0.580153899027719,0.546726234088256
