"scenario","model","n","d","parameter","rep","bias_abs_integrated","irmse"
"n500_d4_nbi_signal2","gamlss",500,4,"mu",1,0.0582151458610069,0.0699405957251297
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",1,0.0481006608267996,0.0568769761469942
"n500_d4_nbi_signal2","gamlss",500,4,"mu",2,0.0419153979847407,0.0454061389955468
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",2,0.0358185708884558,0.0397285725893879
"n500_d4_nbi_signal2","gamlss",500,4,"mu",3,0.0841280975685833,0.105832780677087
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",3,0.0839405306852261,0.10049680619487
"n500_d4_nbi_signal2","gamlss",500,4,"mu",4,0.0271039480878141,0.0364556946879634
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",4,0.027392891729021,0.037272098663708
"n500_d4_nbi_signal2","gamlss",500,4,"mu",5,0.0452711020543,0.0534355088605367
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",5,0.039086633559845,0.0446897385816623
"n500_d4_nbi_signal2","gamlss",500,4,"mu",6,0.0531149593531251,0.0655548212521054
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",6,0.0468114194286537,0.0508191839512039
"n500_d4_nbi_signal2","gamlss",500,4,"mu",7,0.0498255923319835,0.070227095029584
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",7,0.0562155574576159,0.0721177291501532
"n500_d4_nbi_signal2","gamlss",500,4,"mu",8,0.0654060710993394,0.0794413004395788
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",8,0.0564976001943326,0.0626514304529527
"n500_d4_nbi_signal2","gamlss",500,4,"mu",9,0.0476425694934037,0.0560305654805514
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",9,0.0179158865581548,0.0219226686448697
"n500_d4_nbi_signal2","gamlss",500,4,"mu",10,0.0848626882305327,0.104594679371195
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",10,0.0879666073462558,0.10291086256124
"n500_d4_nbi_signal2","gamlss",500,4,"mu",11,0.074410302301897,0.121976711463711
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",11,0.0523366003683293,0.0902276772482913
"n500_d4_nbi_signal2","gamlss",500,4,"mu",12,0.05707766746611,0.0691631863386105
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",12,0.0666420851478561,0.0794623947552434
"n500_d4_nbi_signal2","gamlss",500,4,"mu",13,0.0513346592512166,0.0642125776032532
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",13,0.0541169213186486,0.0622631257743603
"n500_d4_nbi_signal2","gamlss",500,4,"mu",14,0.0721427737551362,0.0816155961805302
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",14,0.0780497133765599,0.0864016057590539
"n500_d4_nbi_signal2","gamlss",500,4,"mu",15,0.0346552815639776,0.0427267869284707
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"mu",15,0.0356834540130807,0.0406025099682768
