"manuscript_path","classified","artifact_id","access","publication_status"
"orcid.pdf",TRUE,"static_orcid","non-data-static","active"
"orcid.pdf",TRUE,"static_orcid","non-data-static","active"
"charts/intro - copula examples.png",TRUE,"fig_intro_copulas","public","active"
"charts/software - plot_dist.png",TRUE,"fig_software_dist","public","active"
"charts/software - plot_copula_diagnostics.png",TRUE,"fig_software_copula","public","active"
"charts/paper_simulation_bcpe_t_fixed_effect_recovery.png",TRUE,"fig_bcpe_fixed","public","active"
"tables/paper_simulation_bcpe_t_fit_characteristics",TRUE,"tab_bcpe_fit","public","active"
"tables/paper_simulation_bcpe_t_fixed_parameter_bias_rmse",TRUE,"tab_bcpe_recovery","public","active"
"tables/08-simulation-sensitivity-correlation-misspecification-scenario-design",TRUE,"tab_corr_design","public","active"
"tables/08-simulation-sensitivity-correlation-misspecification-external-correlation",TRUE,"tab_corr_external","public","active"
"tables/08-simulation-sensitivity-correlation-misspecification-flexible-correlation",TRUE,"tab_corr_flexible","public","active"
"charts/07-gamma-copula-misspecification-paper-summary-heatmap.png",TRUE,"fig_copula_misspec","public","active"
"charts/paper_simulation_bcpe_t_smooth_effect_recovery.png",TRUE,"fig_bcpe_smooth","public","active"
"charts/paper_simulation_nbi_clayton_highsignal_fixed_effect_recovery.png",TRUE,"fig_nbi_fixed","public","active"
"charts/paper_simulation_nbi_clayton_highsignal_smooth_effect_recovery.png",TRUE,"fig_nbi_smooth","public","active"
"tables/paper_simulation_nbi_clayton_highsignal_fit_characteristics",TRUE,"tab_nbi_fit","public","active"
"tables/paper_simulation_nbi_clayton_highsignal_fixed_parameter_bias_rmse",TRUE,"tab_nbi_recovery","public","active"
"tables/normal-joint-vs-separate-six-case-median-iqr-table",TRUE,"tab_jvs_normal","public","active"
"tables/gamma-joint-vs-separate-six-case-median-iqr-table",TRUE,"tab_jvs_gamma","public","active"
"tables/negative-binomial-joint-vs-separate-six-case-median-iqr-table",TRUE,"tab_jvs_nbi","public","active"
"charts/fixed_margin_rmse_by_missingness.png",TRUE,"fig_missing_fixed","public","active"
"charts/smooth_selected_recovery_curves.png",TRUE,"fig_missing_smooth","public","active"
"inline:tab:r-software-comparison",TRUE,"inline_software_comparison","non-data-static","active"
"inline:tab:copula_families",TRUE,"inline_copula_families","non-data-static","active"
"inline:tab:copula_functions_tail_dependence",TRUE,"inline_copula_tail","non-data-static","active"
"inline:tab:simulation-design",TRUE,"inline_sim_design","public","pending_externalization"
"inline:tab:optimizer-guidance",TRUE,"inline_optimizer_guidance","non-data-static","active"
"inline:tab:sensitivity-guidance",TRUE,"inline_sensitivity_guidance","non-data-static","active"
"inline:tab:sim_jvs_scenarios",TRUE,"inline_jvs_design","public","pending_externalization"
